CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18OL17001_003;BBL_02;43.02167;-65.48176;440279;113.53;19-apr-17;09:08:00;113.539;32.2679;3.7147;6.7857;8.142;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_003;BBL_02;43.02222;-65.48174;440280;79.14;19-apr-17;09:10:00;79.142;32.1391;3.3303;6.8533;8.137;1.43121;5.65;0.776;5.755;32.123;NaN;7.1815
18OL17001_003;BBL_02;43.02236;-65.48198;440281;60.72;19-apr-17;09:13:00;60.729;31.9291;3.0587;7.2576;8.164;2.0032;3.88;0.7175;4.1;NaN;NaN;NaN
18OL17001_003;BBL_02;43.02242;-65.48184;440282;49.82;19-apr-17;09:14:00;49.821;31.7661;2.565;7.3598;8.161;2.77636;3.755;0.722;4.105;NaN;NaN;NaN
18OL17001_003;BBL_02;43.02264;-65.48166;440283;40.61;19-apr-17;09:16:00;40.614;31.7194;2.6609;7.518;8.181;4.8147;2.005;0.615;2.375;NaN;NaN;NaN
18OL17001_003;BBL_02;43.02294;-65.4814;440284;30.04;19-apr-17;09:17:00;30.043;31.6415;2.8002;7.9338;8.228;7.13093;0.765;0.5;1.01;NaN;NaN;NaN
18OL17001_003;BBL_02;43.02308;-65.48126;440285;19.55;19-apr-17;09:19:00;19.552;31.4613;2.6408;8.2911;8.272;6.97921;0.34;0.413;0.27;NaN;NaN;NaN
18OL17001_003;BBL_02;43.02316;-65.48098;440286;10.53;19-apr-17;09:20:00;10.532;31.3667;2.4567;8.4052;8.289;4.63898;0.33;0.385;0;NaN;NaN;NaN
18OL17001_003;BBL_02;43.02324;-65.48062;440287;1.72;19-apr-17;09:22:00;1.723;31.3681;2.471;8.4164;8.292;4.8147;0.265;0.394;0;NaN;NaN;NaN
18OL17001_003;BBL_02;43.02328;-65.48052;440288;1.38;19-apr-17;09:22:00;1.382;31.3693;2.4691;8.4085;8.292;4.49841;0.265;0.385;0;31.453;NaN;8.687
18OL17001_004;LL_07;44.1255;-58.17346;440768;828.54;26-apr-17;15:32:00;828.549;34.9849;4.2889;5.5811;8.091;NaN;11.535;1.163;17.19;34.95;0.15;5.9645
18OL17001_004;LL_07;44.12548;-58.17332;440769;500.9;26-apr-17;15:39:00;500.909;35.0586;5.9058;4.4868;8.071;NaN;13.31;1.354;18.22;NaN;0.15;NaN
18OL17001_004;LL_07;44.12592;-58.17286;440770;250.54;26-apr-17;15:45:00;250.542;35.3121;10.1949;2.8899;8.04;NaN;13.055;1.4795;23.04;35.276;0.145;3.176
18OL17001_004;LL_07;44.12596;-58.17284;440771;250.59;26-apr-17;15:45:00;250.594;35.3131;10.2017;2.8961;8.04;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_004;LL_07;44.126;-58.1728;440772;250.54;26-apr-17;15:45:00;250.547;35.3135;10.2052;2.8937;8.04;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_004;LL_07;44.12612;-58.17224;440773;99.81;26-apr-17;15:49:00;99.81;35.2417;11.4254;4.9029;8.177;0.03448;4.98;0.724;7.95;NaN;0.27;NaN
18OL17001_004;LL_07;44.12612;-58.17176;440774;79.89;26-apr-17;15:50:00;79.891;35.0036;10.6625;5.1918;8.185;0.10179;4.185;0.669;7.42;NaN;0.6;NaN
18OL17001_004;LL_07;44.1261;-58.17166;440775;80.2;26-apr-17;15:51:00;80.205;35.0241;10.7398;5.1702;8.185;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_004;LL_07;44.1261;-58.17154;440776;79.69;26-apr-17;15:51:00;79.697;35.0345;10.7668;5.0451;8.18;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_004;LL_07;44.12622;-58.17142;440777;60.48;26-apr-17;15:53:00;60.487;34.9917;10.8789;5.4512;8.216;0.31743;2.99;0.5535;4.945;NaN;0.455;NaN
18OL17001_005;LL_07;44.12678;-58.1716;440778;50.17;26-apr-17;16:36:00;50.17;35.2756;12.1457;5.5401;8.257;0.86837;1.755;0.38;3.61;NaN;0.345;NaN
18OL17001_005;LL_07;44.12688;-58.17178;440779;40.16;26-apr-17;16:37:00;40.163;35.0026;11.1281;5.6676;8.249;0.70756;1.815;0.413;3.64;NaN;0.36;NaN
18OL17001_005;LL_07;44.127;-58.17202;440780;30.42;26-apr-17;16:38:00;30.42;34.4611;8.958;5.7053;8.202;0.34473;2.46;0.631;5.165;NaN;0.39;NaN
18OL17001_005;LL_07;44.12684;-58.17204;440781;20.69;26-apr-17;16:40:00;20.698;34.2829;8.298;5.8203;8.199;1.72067;1.75;0.5935;3.47;NaN;0.29;NaN
18OL17001_005;LL_07;44.1268;-58.17204;440782;21.3;26-apr-17;16:40:00;21.3;34.282;8.2873;5.8288;8.2;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_005;LL_07;44.12678;-58.17204;440783;20.27;26-apr-17;16:40:00;20.276;34.2011;8.1767;6.053;8.214;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_005;LL_07;44.12672;-58.17174;440784;9.75;26-apr-17;16:42:00;9.751;33.8689;7.5815;6.8475;8.271;4.63898;0.455;0.318;1.7;NaN;0.195;NaN
18OL17001_005;LL_07;44.12672;-58.17158;440785;1.64;26-apr-17;16:43:00;1.644;33.7373;7.2949;6.9973;8.29;4.18211;0.485;0.3275;1.57;33.704;0.175;7.423
18OL17001_005;LL_07;44.1267;-58.17156;440786;2.18;26-apr-17;16:43:00;2.188;33.7417;7.3018;7.0252;8.29;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_005;LL_07;44.1267;-58.17152;440787;2.72;26-apr-17;16:44:00;2.728;33.7398;7.2977;7.0044;8.29;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_005;LL_07;44.1267;-58.17152;440788;2.02;26-apr-17;16:44:00;2.023;33.7393;7.3014;7.0137;8.29;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_006;LL_07.1;44.0768;-58.12164;440789;1031.05;26-apr-17;17:58:00;1031.054;34.976;4.0461;5.687;8.084;NaN;11.55;1.173;17.07;34.94;0.135;6.115
18OL17001_006;LL_07.1;44.07664;-58.12144;440790;500.26;26-apr-17;18:08:00;500.261;35.0674;6.1989;4.2817;8.05;NaN;12.125;1.3275;18.22;NaN;0.145;NaN
18OL17001_006;LL_07.1;44.0766;-58.12134;440791;249.27;26-apr-17;18:13:00;249.272;35.3065;10.121;2.902;8.036;NaN;12.51;1.468;21.92;35.271;0.175;3.2365
18OL17001_006;LL_07.1;44.07684;-58.12146;440792;99.3;26-apr-17;18:17:00;99.303;35.7056;13.4434;4.7778;8.203;0.0683;3.965;0.614;8.035;NaN;0.2;NaN
18OL17001_006;LL_07.1;44.07684;-58.12158;440793;79.96;26-apr-17;18:18:00;79.967;35.6932;13.5336;5.0647;8.229;0.34814;2.83;0.4855;4.79;NaN;0.43;NaN
18OL17001_006;LL_07.1;44.07688;-58.12172;440794;59.1;26-apr-17;18:20:00;59.105;35.2401;11.9568;5.5347;8.245;0.45054;2.1;0.4395;3.82;NaN;0.385;NaN
18OL17001_006;LL_07.1;44.07684;-58.12174;440795;49.99;26-apr-17;18:21:00;49.995;35.1835;11.7631;5.5537;8.27;0.39934;2.18;0.4785;4.585;NaN;0.39;NaN
18OL17001_006;LL_07.1;44.0768;-58.12162;440796;39.84;26-apr-17;18:22:00;39.842;34.8916;10.6744;5.7808;8.281;0.43006;1.92;0.4465;4.055;NaN;0.34;NaN
18OL17001_006;LL_07.1;44.07674;-58.12154;440797;29.38;26-apr-17;18:23:00;29.381;34.8133;10.411;5.8644;8.262;0.85229;1.915;0.4345;4;NaN;0.32;NaN
18OL17001_006;LL_07.1;44.07664;-58.1214;440798;19.31;26-apr-17;18:25:00;19.31;34.7302;10.1505;6.0005;8.267;1.36688;1.735;0.455;2.99;NaN;0.29;NaN
18OL17001_006;LL_07.1;44.07672;-58.1214;440799;9.55;26-apr-17;18:26:00;9.558;34.533;9.581;6.1882;8.265;1.72066;1.535;0.444;3.38;NaN;0.265;NaN
18OL17001_006;LL_07.1;44.07678;-58.12144;440800;1.9;26-apr-17;18:27:00;1.905;34.5173;9.5437;6.2324;8.269;1.83323;1.505;0.4135;3.1;34.496;0.255;6.592
18OL17001_008;LL_06;44.47344;-58.50326;440801;60.89;26-apr-17;22:16:00;60.893;32.3946;1.6038;7.5141;8.13;5.20128;2.105;0.662;2.365;32.362;0.19;7.865
18OL17001_008;LL_06;44.47372;-58.50306;440802;50.12;26-apr-17;22:18:00;50.121;32.3936;1.6092;7.5246;8.131;5.27157;2.08;0.6705;2.4;NaN;0.205;NaN
18OL17001_008;LL_06;44.47384;-58.50281;440803;39.71;26-apr-17;22:20:00;39.713;32.1973;1.6499;8.2642;8.23;9.71021;0;0.394;0.945;NaN;0.085;NaN
18OL17001_008;LL_06;44.47414;-58.50274;440804;29.89;26-apr-17;22:21:00;29.891;32.1312;1.3599;8.322;8.23;9.10332;0;0.403;1.01;NaN;0.11;NaN
18OL17001_008;LL_06;44.47444;-58.50276;440805;20.12;26-apr-17;22:23:00;20.127;32.0361;1.4696;8.8538;8.308;2.46006;0;0.2995;0.9;NaN;0.09;NaN
18OL17001_008;LL_06;44.4747;-58.5026;440806;9.9;26-apr-17;22:26:00;9.906;32.0115;2.4651;8.8728;8.347;2.03834;0;0.2775;0.965;NaN;0.075;NaN
18OL17001_008;LL_06;44.47486;-58.50264;440807;2.65;26-apr-17;22:29:00;2.658;32.0117;2.4731;8.8394;8.347;2.17891;0;0.2935;0.99;31.981;0.075;9.302
18OL17001_008;LL_06;44.475;-58.50263;440808;3.12;26-apr-17;22:30:00;3.12;32.0117;2.4714;8.8621;8.347;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_010;LL_05;44.81742;-58.84933;440809;230.35;27-apr-17;01:42:00;230.352;32.6335;1.8828;6.6158;8.067;NaN;8.675;0.927;6.28;32.6;0.235;6.847
18OL17001_010;LL_05;44.81752;-58.84972;440810;101.29;27-apr-17;01:48:00;101.297;32.372;1.3085;7.1005;8.094;1.65634;6.35;0.8155;4.79;NaN;0.29;NaN
18OL17001_010;LL_05;44.81736;-58.8498;440811;79.72;27-apr-17;01:50:00;79.726;32.3106;1.1543;7.3148;8.109;2.44431;4.91;0.7365;3.82;NaN;0.28;NaN
18OL17001_010;LL_05;44.8175;-58.85024;440812;59.3;27-apr-17;01:53:00;59.303;32.2086;1.0174;7.7153;8.144;4.99042;2.12;0.6075;2;NaN;0.26;NaN
18OL17001_010;LL_05;44.81738;-58.85034;440813;50.14;27-apr-17;01:56:00;50.148;32.1994;1.0739;7.7714;8.157;5.55272;1.945;0.6425;2.405;NaN;0.26;NaN
18OL17001_010;LL_05;44.81752;-58.85044;440814;39.63;27-apr-17;01:58:00;39.631;32.1864;1.2082;7.9429;8.185;8.79988;0.835;0.5375;1.565;NaN;0.205;NaN
18OL17001_010;LL_05;44.8176;-58.85062;440815;30.44;27-apr-17;02:00:00;30.445;32.18;1.5983;8.3038;8.248;4.28754;0.435;0.4005;0.96;NaN;0.155;NaN
18OL17001_010;LL_05;44.81774;-58.85068;440816;21.05;27-apr-17;02:02:00;21.056;32.1767;1.8414;8.5368;8.288;2.95208;0.11;0.3475;0.87;NaN;0.17;NaN
18OL17001_010;LL_05;44.81784;-58.85058;440817;9.77;27-apr-17;02:04:00;9.772;32.1503;2.5433;8.7414;8.346;1.79233;0.025;0.267;0.83;NaN;0.135;NaN
18OL17001_010;LL_05;44.81767;-58.85072;440818;1.58;27-apr-17;02:06:00;1.582;32.1456;2.6632;8.7703;8.355;1.79233;0;0.2665;0.775;32.114;0.135;8.887
18OL17001_010;LL_05;44.8176;-58.85056;440819;1.57;27-apr-17;02:07:00;1.572;32.1465;2.6667;8.7751;8.36;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_012;LL_04;45.15174;-59.16986;440820;84.27;27-apr-17;05:12:00;84.279;32.1198;0.8495;7.2608;8.091;NaN;4.015;0.79;4.375;32.087;0.29;7.602
18OL17001_012;LL_04;45.15166;-59.16998;440821;79.68;27-apr-17;05:14:00;79.68;32.1185;0.8465;7.2726;8.091;1.41513;4;0.794;3.75;NaN;0.3;NaN
18OL17001_012;LL_04;45.15138;-59.16991;440822;60.28;27-apr-17;05:16:00;60.286;32.094;0.7936;7.327;8.092;1.2704;3.555;0.7705;4.21;NaN;0.295;NaN
18OL17001_012;LL_04;45.15128;-59.16974;440823;49.77;27-apr-17;05:18:00;49.778;31.9574;0.5351;7.5435;8.11;1.91364;2.225;0.7355;3.685;NaN;0.275;NaN
18OL17001_012;LL_04;45.15124;-59.16964;440824;40.7;27-apr-17;05:19:00;40.7;31.8427;0.2487;7.7499;8.124;3.30351;0.67;0.656;2.455;NaN;0.265;NaN
18OL17001_012;LL_04;45.15118;-59.16968;440825;30.68;27-apr-17;05:21:00;30.684;31.6598;1.1535;8.6596;8.296;2.13877;0;0.375;0.83;NaN;0.155;NaN
18OL17001_012;LL_04;45.1508;-59.16976;440826;19.01;27-apr-17;05:23:00;19.012;31.5294;1.4927;8.7875;8.333;1.2704;0;0.317;0.825;NaN;0.105;NaN
18OL17001_012;LL_04;45.15006;-59.16952;440827;9.88;27-apr-17;05:25:00;9.885;31.3169;1.9248;8.4427;8.32;0.55294;0;0.2905;0.85;NaN;0.165;NaN
18OL17001_012;LL_04;45.14976;-59.16926;440828;1.96;27-apr-17;05:27:00;1.966;31.2964;2.0109;8.3673;8.313;0.45737;0;0.2755;0.865;31.263;0.1;8.735
18OL17001_012;LL_04;45.14938;-59.16924;440829;1.82;27-apr-17;05:28:00;1.822;31.2851;2.0354;8.353;8.305;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_013;LL_04;45.15484;-59.1722;440830;80.72;27-apr-17;06:46:00;80.723;32.1152;0.8914;7.209;8.085;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_013;LL_04;45.1546;-59.17242;440831;79.63;27-apr-17;06:47:00;79.634;32.1158;0.8917;7.2218;8.085;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_013;LL_04;45.15414;-59.1727;440832;40.8;27-apr-17;06:51:00;40.801;31.8432;0.2534;7.7463;8.131;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_013;LL_04;45.15406;-59.17282;440833;40.3;27-apr-17;06:52:00;40.309;31.8379;0.2359;7.7576;8.13;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_013;LL_04;45.15346;-59.17298;440834;19.47;27-apr-17;06:55:00;19.474;31.3606;1.7651;8.5033;8.316;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_013;LL_04;45.15319;-59.17292;440835;19.78;27-apr-17;06:56:00;19.78;31.3393;1.9514;8.4039;8.315;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_013;LL_04;45.15264;-59.17286;440836;2.61;27-apr-17;06:58:00;2.61;31.3285;2.0649;8.3402;8.31;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_013;LL_04;45.15254;-59.17284;440837;2.37;27-apr-17;06:58:00;2.37;31.3292;2.0593;8.3243;8.31;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_016;LL_03;45.48838;-59.51666;440838;144.07;27-apr-17;10:12:00;144.078;32.8522;2.2745;5.9491;8.027;NaN;11.555;1.036;7.85;32.816;0.32;6.253
18OL17001_016;LL_03;45.48818;-59.5167;440839;100.15;27-apr-17;10:14:00;100.155;32.3054;1.1425;6.8155;8.065;0.17407;7.41;0.9075;6;NaN;0.25;NaN
18OL17001_016;LL_03;45.48818;-59.51666;440840;79.41;27-apr-17;10:16:00;79.414;31.9454;0.6619;7.2928;8.09;0.27306;4.86;0.839;4.19;NaN;0.24;NaN
18OL17001_016;LL_03;45.48818;-59.51663;440841;58.8;27-apr-17;10:18:00;58.806;31.7053;0.0811;7.836;8.128;0.86837;2.345;0.707;2.625;NaN;0.225;NaN
18OL17001_016;LL_03;45.48808;-59.51658;440842;49.88;27-apr-17;10:19:00;49.884;31.5075;-0.0447;7.9158;8.137;1.46337;0.965;0.654;2.6;NaN;0.23;NaN
18OL17001_016;LL_03;45.48804;-59.51652;440843;39.61;27-apr-17;10:21:00;39.613;31.3047;-0.2541;8.3018;8.174;2.17891;0.195;0.529;1.465;NaN;0.175;NaN
18OL17001_016;LL_03;45.48794;-59.51648;440844;30.12;27-apr-17;10:22:00;30.125;31.0868;-0.428;8.6184;8.201;1.41513;0;0.488;1.135;NaN;0.155;NaN
18OL17001_016;LL_03;45.48792;-59.51648;440845;20.23;27-apr-17;10:24:00;20.234;30.6736;1.6754;8.4962;8.302;0.36863;0;0.2825;0.835;NaN;0.125;NaN
18OL17001_016;LL_03;45.48798;-59.51646;440846;9.95;27-apr-17;10:26:00;9.953;30.6538;1.7519;8.4757;8.301;0.40617;0;0.266;0.83;NaN;0.115;NaN
18OL17001_016;LL_03;45.48796;-59.5164;440847;2.17;27-apr-17;10:27:00;2.173;30.6534;1.757;8.4707;8.301;0.40958;0;0.2725;0.845;30.625;0.11;8.667
18OL17001_016;LL_03;45.48798;-59.5164;440848;2.15;27-apr-17;10:27:00;2.152;30.6534;1.7586;8.4754;8.301;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_018;LL_02;45.65436;-59.71026;440849;125.09;27-apr-17;12:38:00;125.096;32.9328;2.1955;5.9968;8.041;NaN;10.125;0.9795;6.325;32.896;0.245;6.273
18OL17001_018;LL_02;45.65436;-59.71034;440850;100.74;27-apr-17;12:39:00;100.742;32.5567;1.4979;6.6318;8.073;0.17066;8.245;0.8985;5.595;NaN;0.27;NaN
18OL17001_018;LL_02;45.65456;-59.7104;440851;79.54;27-apr-17;12:41:00;79.543;31.7747;0.0615;7.5722;8.108;0.65932;3.675;0.7905;3.07;NaN;0.225;NaN
18OL17001_018;LL_02;45.65466;-59.7104;440852;60.06;27-apr-17;12:43:00;60.061;31.3389;-0.406;7.8467;8.125;1.14175;1.03;0.686;3.005;NaN;0.225;NaN
18OL17001_018;LL_02;45.6546;-59.71046;440853;49.24;27-apr-17;12:44:00;49.242;31.1609;-0.5382;8.098;8.145;1.78499;0.185;0.6455;2.765;NaN;0.23;NaN
18OL17001_018;LL_02;45.65466;-59.71068;440854;39.28;27-apr-17;12:45:00;39.283;30.8903;-0.1336;8.5385;8.227;1.31864;0;0.458;1.37;NaN;0.16;NaN
18OL17001_018;LL_02;45.65466;-59.71086;440855;29.99;27-apr-17;12:47:00;29.999;30.74;0.5378;8.8706;8.307;0.85229;0;0.3365;1.03;NaN;0.125;NaN
18OL17001_018;LL_02;45.65478;-59.71096;440856;20.8;27-apr-17;12:48:00;20.802;30.6314;1.079;8.708;8.306;0.53587;0;0.266;1.015;NaN;0.12;NaN
18OL17001_018;LL_02;45.65498;-59.711;440857;9.78;27-apr-17;12:50:00;9.789;30.4994;1.133;8.7155;8.311;0.96486;0;0.3045;1.04;NaN;0.135;NaN
18OL17001_018;LL_02;45.655;-59.71106;440858;1.73;27-apr-17;12:51:00;1.731;30.4961;1.1806;8.7013;8.314;0.86837;0;0.2945;1.015;30.47;0.095;9.0065
18OL17001_018;LL_02;45.65501;-59.71108;440859;1.47;27-apr-17;12:52:00;1.473;30.4965;1.181;8.7142;8.314;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18OL17001_020;LL_01;45.82148;-59.85029;440860;91.57;27-apr-17;14:39:00;91.578;32.2402;0.9559;6.8421;8.08;0.22868;7.445;0.912;6.09;32.2;0.29;7.117
18OL17001_020;LL_01;45.82148;-59.8503;440861;79.78;27-apr-17;14:41:00;79.784;32.1984;0.9088;6.8999;8.084;0.3106;6.755;0.8935;6.665;NaN;0.245;NaN
18OL17001_020;LL_01;45.82144;-59.85034;440862;60.05;27-apr-17;14:42:00;60.056;31.6805;0.2152;7.6546;8.133;2.2492;0.945;0.7035;3.78;NaN;0.205;NaN
18OL17001_020;LL_01;45.82142;-59.85034;440863;50.82;27-apr-17;14:44:00;50.822;31.3128;-0.0494;8.3036;8.202;2.35463;0;0.536;1.805;NaN;0.145;NaN
18OL17001_020;LL_01;45.82138;-59.85034;440864;40.41;27-apr-17;14:46:00;40.41;30.9216;0.1909;8.6165;8.261;1.41513;0;0.3995;1.24;NaN;0.1;NaN
18OL17001_020;LL_01;45.82136;-59.85032;440865;30.17;27-apr-17;14:47:00;30.172;30.7126;0.6455;8.8116;8.307;1.06134;0;0.3485;1.07;NaN;0.085;NaN
18OL17001_020;LL_01;45.82132;-59.85024;440866;19.26;27-apr-17;14:49:00;19.26;30.6009;0.5244;8.8113;8.313;0.94878;0;0.3285;1.115;NaN;0.13;NaN
