CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX;PSAL_BS;OXYM_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius);(PSU);(mmol/m**3)
88025_002;1;47.001;-52.66833;48901;163;27-jul-88;13:22:00;164;-1.151;33.389;NaN
88025_003;10;47.00033;-48.26967;48934;12;28-jul-88;09:30:00;12;-0.5165;33.533;7.43
88025_003;10;47.00033;-48.26967;48935;80;28-jul-88;09:33:00;81;-1.1535;33.335;7.7295
88025_003;10;47.00033;-48.26967;48936;50;28-jul-88;09:35:00;50;-0.7905;33.062;7.206
88025_003;10;47.00033;-48.26967;48937;10;28-jul-88;09:38:00;10;11.389;32.124;6.976
88025_113;2;47.046;-52.18083;48902;125;27-jul-88;16:08:00;127;-1.274;33.3785;NaN
88025_113;2;47.046;-52.18083;48903;87;27-jul-88;16:10:00;88;-1.4195;33.231;7.882
88025_113;2;47.046;-52.18083;48904;46;27-jul-88;16:11:00;47;-0.7555;33.064;8.57
88025_113;2;47.046;-52.18083;48905;10;27-jul-88;16:13:00;10;12.0475;31.904;6.407
88025_225;3;47.0845;-51.68567;48906;111;27-jul-88;18:20:00;112;-0.998;33.343;6.643
88025_225;3;47.0845;-51.68567;48907;71;27-jul-88;18:22:00;72;-1.2145;32.995;7.7735
88025_225;3;47.0845;-51.68567;48908;41;27-jul-88;18:24:00;41;2.7905;32.632;7.951
88025_225;3;47.0845;-51.68567;48909;11;27-jul-88;18:25:00;12;11.8215;32.015;6.479
88025_264;4;47.12583;-51.193;48910;102;27-jul-88;20:28:00;103;-1.1325;33.2965;7.087
88025_264;4;47.12583;-51.193;48911;71;27-jul-88;20:30:00;72;-0.9725;33.1;7.487
88025_264;4;47.12583;-51.193;48912;42;27-jul-88;20:33:00;42;4.1985;32.652;8.407
88025_264;4;47.12583;-51.193;48913;11;27-jul-88;20:36:00;11;11.6685;32.011;9.417
88025_284;5;46.99983;-50.71417;48914;160;27-jul-88;22:32:00;161;-1.0745;33.35;7.133
88025_284;5;46.99983;-50.71417;48915;100;27-jul-88;22:36:00;101;-1.0665;33.162;7.068
88025_284;5;46.99983;-50.71417;48916;50;27-jul-88;22:38:00;50;0.6425;32.765;8.165
88025_284;5;46.99983;-50.71417;48917;10;27-jul-88;22:40:00;10;11.6335;31.933;6.468
88025_304;6;47.001;-50.219;48918;101;28-jul-88;00:41:00;102;-0.9105;33.233;6.635
88025_304;6;47.001;-50.219;48919;76;28-jul-88;00:43:00;77;-0.1615;32.981;6.612
88025_304;6;47.001;-50.219;48920;31;28-jul-88;00:46:00;31;4.9135;32.525;7.719
88025_304;6;47.001;-50.219;48921;10;28-jul-88;00:49:00;10;11.5715;32.15;6.489
88025_315;7;46.99983;-49.73317;48922;67;28-jul-88;02:58:00;67;-0.3835;33.025;6.0915
88025_315;7;46.99983;-49.73317;48923;41;28-jul-88;03:00:00;41;1.4235;32.821;7.942
88025_315;7;46.99983;-49.73317;48924;21;28-jul-88;03:01:00;22;6.28;32.617;7.496
88025_315;7;46.99983;-49.73317;48925;10;28-jul-88;03:03:00;10;11.2815;32.294;6.55
88025_326;8;46.999;-49.24633;48926;69;28-jul-88;05:19:00;70;-0.777;33.175;6.091
88025_326;8;46.999;-49.24633;48927;50;28-jul-88;05:20:00;50;-0.1895;32.963;7.369
88025_326;8;46.999;-49.24633;48928;27;28-jul-88;05:22:00;28;5.1545;32.736;NaN
88025_326;8;46.999;-49.24633;48929;7;28-jul-88;05:23:00;7;12.0005;32.277;6.454
88025_339;9;47;-48.75967;48930;80;28-jul-88;07:23:00;81;-0.9065;33.3385;8.529
88025_339;9;47;-48.75967;48931;57;28-jul-88;07:27:00;57;-0.4425;33.029;6.7325
88025_339;9;47;-48.75967;48932;28;28-jul-88;07:28:00;28;4.5725;33.034;6.533
88025_339;9;47;-48.75967;48933;7;28-jul-88;07:32:00;7;11.9005;32.595;7.803
