CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;PSAL_BS;OXY_02;NO2_01;NOx_01;PO4_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);(PSU);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU14007_070;STN27;47.5457;-52.5868;400981;158.64;16-may-14;23:55:00;158.641;33.0093;-1.2243;7.07874;1.59524;33.012;7.249;0.135;9.565;1.079;8.145
18HU14007_070;STN27;47.5457;-52.5868;400982;149.53;16-may-14;23:55:00;149.538;32.9357;-1.2908;7.27521;1.01236;NaN;NaN;0.1;9.19;1.0185;7.57
18HU14007_070;STN27;47.5457;-52.5868;400983;99.49;16-may-14;23:56:00;99.493;32.7753;-1.451;7.78903;0.90499;NaN;NaN;0.065;6.87;0.8715;3.075
18HU14007_070;STN27;47.5457;-52.5868;400984;74.42;16-may-14;23:57:00;74.428;32.6984;-1.4811;7.87391;1.15041;NaN;NaN;0.08;6.275;0.8525;1.915
18HU14007_070;STN27;47.5457;-52.5868;400985;49.97;16-may-14;23:58:00;49.972;32.5979;-0.0113;8.55873;0.99702;NaN;NaN;0;0.39;0.367;0
18HU14007_070;STN27;47.5457;-52.5868;400986;39.7;16-may-14;23:59:00;39.7;32.5297;0.5574;8.45933;0.68385;32.725;8.671;0;0;0.2955;0
18HU14007_070;STN27;47.5457;-52.5868;400987;30.29;17-may-14;00:00:00;30.295;32.5135;0.7719;8.41916;0.58811;NaN;NaN;0;0;0.299;0
18HU14007_070;STN27;47.5457;-52.5868;400988;20.09;17-may-14;00:01:00;20.095;32.494;1.0389;8.33223;0.43766;NaN;NaN;0;0;0.303;0
18HU14007_070;STN27;47.5457;-52.5868;400989;9.5;17-may-14;00:02:00;9.509;32.4511;1.2703;8.25731;0.39207;NaN;NaN;0;0;0.2895;0
18HU14007_070;STN27;47.5457;-52.5868;400990;5.08;17-may-14;00:02:00;5.081;32.4266;1.4292;8.21577;0.54708;NaN;8.415;0;0.1;0.304;0
18HU14007_075;Off Grand Banks;44.6983;-54.2853;400991;200.43;17-may-14;18:47:00;200.432;34.866;8.4557;4.20411;NaN;NaN;NaN;0.02;18.34;1.173;9.41
18HU14007_075;Off Grand Banks;44.6983;-54.2853;400992;149.87;17-may-14;18:49:00;149.872;35.0395;10.1606;4.23149;NaN;NaN;4.388;0.045;15.695;1.0265;7.72
18HU14007_075;Off Grand Banks;44.6983;-54.2853;400993;100.62;17-may-14;18:51:00;100.621;34.1264;7.9797;5.59046;0.35104;NaN;5.791;0.05;9.27;0.78;4.805
18HU14007_075;Off Grand Banks;44.6983;-54.2853;400994;80.53;17-may-14;18:51:00;80.534;33.4444;6.0439;6.31751;0.38295;NaN;6.551;0.28;5.715;0.6675;3.35
18HU14007_075;Off Grand Banks;44.6983;-54.2853;400995;60.43;17-may-14;18:52:00;60.437;32.8811;5.8761;7.13226;5.2211;NaN;7.376;0.025;0;0.38;0.215
18HU14007_075;Off Grand Banks;44.6983;-54.2853;400996;60.09;17-may-14;18:52:00;60.092;32.8802;5.8781;7.14861;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;400997;50.03;17-may-14;18:53:00;50.035;32.7795;5.7047;7.42939;1.5799;NaN;7.672;0.025;0;0.259;0
18HU14007_075;Off Grand Banks;44.6983;-54.2853;400998;39.83;17-may-14;18:54:00;39.832;32.6051;5.0573;7.62846;0.88965;NaN;7.862;0;0.125;0.2695;0
18HU14007_075;Off Grand Banks;44.6983;-54.2853;400999;39.87;17-may-14;18:54:00;39.875;32.6064;5.0599;7.64164;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401000;29.27;17-may-14;18:55:00;29.271;32.6378;5.8202;7.22367;0.5106;NaN;NaN;0.02;0;0.2885;0.31
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401001;29.68;17-may-14;18:55:00;29.685;32.6399;5.8558;7.21105;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401002;30.26;17-may-14;18:55:00;30.267;32.6396;5.859;7.2175;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401003;30.26;17-may-14;18:55:00;30.267;32.6403;5.8587;7.20739;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401004;29.78;17-may-14;18:55:00;29.785;32.6409;5.86;7.21612;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401005;20.54;17-may-14;18:56:00;20.549;32.6262;6.1558;7.16212;0.31913;NaN;NaN;0;0;0.293;0.14
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401006;19.55;17-may-14;18:56:00;19.555;32.6274;6.1712;7.16243;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401007;10.65;17-may-14;18:56:00;10.655;32.5381;6.6676;7.21767;0.37839;NaN;NaN;0;0;0.3095;0.22
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401008;11.01;17-may-14;18:56:00;11.013;32.5737;6.7315;7.201;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401009;1.65;17-may-14;18:57:00;1.653;32.3828;6.434;7.30884;0.41942;NaN;NaN;0;0;0.312;0.095
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401010;1.82;17-may-14;18:57:00;1.827;32.3822;6.4331;7.3111;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401011;1.48;17-may-14;18:57:00;1.487;32.3834;6.4348;7.3104;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401012;1.19;17-may-14;18:57:00;1.192;32.3839;6.4347;7.31357;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401013;1.35;17-may-14;18:57:00;1.355;32.382;6.4305;7.29935;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_075;Off Grand Banks;44.6983;-54.2853;401014;1.64;17-may-14;18:57:00;1.643;32.3813;6.4288;7.30333;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU14007_083;HL_19;38.2342;-57.9267;401015;5297.49;19-may-14;15:53:00;5297.495;34.8745;2.2678;5.83586;NaN;34.874;5.999;0.055;20.83;1.4445;39.745
18HU14007_083;HL_19;38.2342;-57.9267;401016;5168.19;19-may-14;15:56:00;5168.198;34.8792;2.2926;5.85682;NaN;34.88;6.044;0;20.215;1.3745;36.61
18HU14007_083;HL_19;38.2342;-57.9267;401017;4960.16;19-may-14;16:00:00;4960.162;34.8822;2.2916;5.86403;NaN;34.884;6.05;0;19.97;1.349;34.62
18HU14007_083;HL_19;38.2342;-57.9267;401018;4710.9;19-may-14;16:05:00;4710.906;34.8849;2.2887;5.86868;NaN;34.886;6.076;0;19.74;1.3335;33.175
18HU14007_083;HL_19;38.2342;-57.9267;401019;4430.29;19-may-14;16:10:00;4430.292;34.889;2.2961;5.91008;NaN;34.889;6.12233;0;19.5;1.303;30.835
18HU14007_083;HL_19;38.2342;-57.9267;401020;4130.2;19-may-14;16:16:00;4130.205;34.8944;2.3358;5.94129;NaN;34.894;6.154;0;19.07;1.2875;28.555
18HU14007_083;HL_19;38.2342;-57.9267;401021;3821.97;19-may-14;16:21:00;3821.975;34.9028;2.4352;5.93273;NaN;34.903;6.192;0;18.685;1.257;25.765
18HU14007_083;HL_19;38.2342;-57.9267;401022;3510.73;19-may-14;16:27:00;3510.739;34.9153;2.6244;5.92808;NaN;34.915;5.785;0;18.465;1.229;22.93
18HU14007_083;HL_19;38.2342;-57.9267;401023;3200.79;19-may-14;16:32:00;3200.79;34.9298;2.8853;5.89153;NaN;34.93093;6.138;0;18.555;1.2185;20.665
18HU14007_083;HL_19;38.2342;-57.9267;401024;2890.28;19-may-14;16:38:00;2890.286;34.9408;3.1276;5.86819;NaN;34.941;6.08;0;18.59;1.225;18.91
18HU14007_083;HL_19;38.2342;-57.9267;401025;2581.95;19-may-14;16:43:00;2581.952;34.9496;3.3588;5.85604;NaN;34.95;6.102;0;18.565;1.2195;16.92
18HU14007_083;HL_19;38.2342;-57.9267;401026;2201.14;19-may-14;16:50:00;2201.144;34.9526;3.6261;5.87219;NaN;34.952;6.089;0;18.29;1.2055;14.21
18HU14007_083;HL_19;38.2342;-57.9267;401027;1990.49;19-may-14;16:54:00;1990.496;34.9601;3.7862;5.86044;NaN;34.959;6.007;0;18.465;1.211;13.455
18HU14007_083;HL_19;38.2342;-57.9267;401028;1710.15;19-may-14;16:59:00;1710.152;34.9724;4.0847;5.79375;NaN;34.971;5.981;0;18.425;1.193;12.335
18HU14007_083;HL_19;38.2342;-57.9267;401029;1452.18;19-may-14;17:04:00;1452.187;34.9837;4.3515;5.71204;NaN;34.983;5.924;0;18.36;1.2;12.055
18HU14007_083;HL_19;38.2342;-57.9267;401030;1201.99;19-may-14;17:08:00;1201.998;35.0058;4.7859;5.52695;NaN;35.005;5.697;0;18.82;1.2355;11.765
