CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU05071_802;621;47.8325;-64.24567;289234;25.38;15-nov-05;00:19:00;29.52;5.83;314.58504;6.948;0.12;0.55;3.46;5.7;NaN;0.82;2.486
18HU05071_802;621;47.8325;-64.24567;289235;15.57;15-nov-05;00:19:00;29.44;5.92;315.56756;6.973;0.16;0.535;3.395;4.37;NaN;1.11;2.962
18HU05071_802;621;47.8325;-64.24567;289236;5.06;15-nov-05;00:19:00;29.4;5.95;315.79086;6.976;0.125;0.54;3.49;5.805;NaN;1.115;3.181
18HU05071_802;621;47.8325;-64.24567;289237;2.28;15-nov-05;00:19:00;29.4;5.95;315.88018;6.9725;0.12;0.525;3.385;5.63;NaN;1.205;3.179
18HU05071_803;631;47.74117;-63.99833;289238;70.29;15-nov-05;01:47:00;31.5;1.58;231.7854;5.1785;0.09;1.375;12.545;23.565;NaN;0.205;0.66
18HU05071_803;631;47.74117;-63.99833;289239;49.18;15-nov-05;01:47:00;30.56;5.45;306.8142;6.722;0.15;0.62;3.635;4.09;NaN;0.26;0.799
18HU05071_803;631;47.74117;-63.99833;289240;23.8;15-nov-05;01:47:00;29.69;5.51;316.6394;7.015;0.115;0.575;3.77;5.015;NaN;0.64;2.075
18HU05071_803;631;47.74117;-63.99833;289241;16.16;15-nov-05;01:47:00;29.61;5.51;317.44328;7.043;0.12;0.555;3.75;5.07;NaN;0.795;2.612
18HU05071_803;631;47.74117;-63.99833;289242;5.75;15-nov-05;01:47:00;29.6;5.52;318.02386;7.057;0.125;0.57;3.82;5.095;NaN;0.98;2.678
18HU05071_803;631;47.74117;-63.99833;289243;2.28;15-nov-05;01:47:00;29.6;5.52;318.02386;7.049;0.11;0.58;3.815;5.08;NaN;0.985;2.667
18HU05071_804;641;47.65967;-63.74983;289244;52.25;15-nov-05;03:11:00;31.06;3.26;285.86866;6.225;0.05;0.945;8.535;9.875;NaN;0.17;0.64
18HU05071_804;641;47.65967;-63.74983;289245;26.87;15-nov-05;03:11:00;29.83;5.67;315.0763;6.976;0.14;0.585;3.56;4.56;NaN;0.72;2.323
18HU05071_804;641;47.65967;-63.74983;289246;15.37;15-nov-05;03:11:00;29.78;5.66;315.2996;7.005;0.13;0.565;3.505;4.485;NaN;0.985;2.733
18HU05071_804;641;47.65967;-63.74983;289247;5.35;15-nov-05;03:11:00;29.78;5.66;314.853;7.008;0.135;0.57;3.48;4.64;NaN;0.98;2.755
18HU05071_804;641;47.65967;-63.74983;289248;2.28;15-nov-05;03:11:00;29.78;5.66;NaN;7.011;0.135;0.555;3.505;4.48;NaN;0.98;2.748
18HU05071_805;651;47.49883;-63.248;289249;68.31;15-nov-05;06:10:00;31.83;0.73;227.0961;5.188;0.06;1.42;13.625;24.08;NaN;0.12;0.556
18HU05071_805;651;47.49883;-63.248;289250;49.08;15-nov-05;06:10:00;31.55;1.11;248.89018;5.526;0.03;1.32667;12.34;19.89;NaN;0.075;0.535
18HU05071_805;651;47.49883;-63.248;289251;25.38;15-nov-05;06:10:00;29.86;6.11;312.08408;6.95;0.11;0.475;2.55;3.495;NaN;0.695;2.46
18HU05071_805;651;47.49883;-63.248;289252;16.26;15-nov-05;06:10:00;29.86;6.11;312.88796;6.979;0.105;0.475;2.51;3.505;NaN;0.46;2.453
18HU05071_805;651;47.49883;-63.248;289253;5.26;15-nov-05;06:10:00;29.86;6.11;314.6297;7.012;0.11;0.465;2.51;3.355;NaN;0.565;2.45
18HU05071_805;651;47.49883;-63.248;289254;2.18;15-nov-05;06:10:00;29.86;6.11;314.6297;7.013;0.11;0.465;2.495;3.33;NaN;0.76;2.442
18HU05071_806;661;47.33033;-62.7475;289255;50.77;15-nov-05;08:21:00;31.49;0.65;253.31152;5.758;0.03;1.24;11.915;19.35;NaN;0.115;0.596
18HU05071_806;661;47.33033;-62.7475;289256;24.99;15-nov-05;08:21:00;29.93;6.4;308.46662;6.847;0.09;0.45;1.98;3.91667;NaN;0.625;2.047
18HU05071_806;661;47.33033;-62.7475;289257;15.97;15-nov-05;08:21:00;29.94;6.4;308.73458;6.864;0.075;0.495;2.2;4.06;NaN;0.565;2.059
18HU05071_806;661;47.33033;-62.7475;289258;5.75;15-nov-05;08:21:00;29.94;6.4;308.64526;6.873;0.08;0.495;2.17;4.03;NaN;0.6;2.06
18HU05071_806;661;47.33033;-62.7475;289259;1.78;15-nov-05;08:21:00;29.93;6.4;308.8239;6.921;0.075;0.5;2.195;4.12;NaN;0.65;2.069
18HU05071_807;671;47.16817;-62.24983;289260;33.81;15-nov-05;10:31:00;31;2.68;264.74448;5.9605;0.14;1.1;9.04;15.32;NaN;0.29;1.038
18HU05071_807;671;47.16817;-62.24983;289261;25.88;15-nov-05;10:31:00;30.72;3.76;298.06084;6.323;0.125;0.925;6.25;11.23;NaN;0.35;1.134
18HU05071_807;671;47.16817;-62.24983;289262;15.77;15-nov-05;10:31:00;30.12;6.06;306.68022;6.795;0.11;0.625;3.015;5.72;NaN;0.56;1.676
18HU05071_807;671;47.16817;-62.24983;289263;5.75;15-nov-05;10:31:00;30.12;6.07;307.30546;6.82;0.105;0.62;3;5.655;NaN;0.54;1.672
18HU05071_807;671;47.16817;-62.24983;289264;2.68;15-nov-05;10:31:00;30.12;6.07;307.17148;6.831;0.11;0.62;2.985;5.71;NaN;0.525;1.71
18HU05071_808;681;46.9995;-61.75167;289265;36.89;15-nov-05;12:39:00;31.16;1.86;259.11732;5.873;0.11;1.175;10.155;17.48;NaN;0.255;0.872
18HU05071_808;681;46.9995;-61.75167;289266;25.68;15-nov-05;12:39:00;31.01;4.03;283.41236;6.314;0.14;0.89;6.26667;10.195;NaN;0.255;0.996
18HU05071_808;681;46.9995;-61.75167;289267;14.87;15-nov-05;12:39:00;30.18;6.06;307.35012;6.808;0.105;0.63667;3.33;6.21;NaN;0.535;1.802
18HU05071_808;681;46.9995;-61.75167;289268;5.26;15-nov-05;12:39:00;30.17;6.04;307.75206;6.816;0.12;0.63667;3.39333;6.24;NaN;0.565;1.786
18HU05071_808;681;46.9995;-61.75167;289269;2.98;15-nov-05;12:39:00;30.16;6.04;307.9307;6.863;0.105;0.63667;3.36;6.3;NaN;0.565;1.708
18HU05071_809;691;46.902;-61.5;289270;47.89;15-nov-05;14:14:00;31.41;2.13;271.13086;6.093;0.085;1.03;9.14333;14.475;NaN;0.19;0.788
18HU05071_809;691;46.902;-61.5;289271;26.87;15-nov-05;14:14:00;30.3;6.27;308.73458;6.829;0.085;0.53;2.32;4.34;NaN;0.42;1.536
18HU05071_809;691;46.902;-61.5;289272;15.47;15-nov-05;14:14:00;30.29;6.27;308.6006;6.845;0.085;0.52667;2.36667;4.22;NaN;0.485;1.764
18HU05071_809;691;46.902;-61.5;289273;5.45;15-nov-05;14:14:00;30.24;6.3;309.62778;6.862;0.085;0.52;2.39667;4.37;NaN;0.57;1.551
18HU05071_809;691;46.902;-61.5;289274;2.48;15-nov-05;14:14:00;30.24;6.31;309.7171;6.845;0.075;0.53;2.41;4.39;NaN;0.585;1.326
18HU05071_810;701;46.83167;-61.25017;289275;57.11;15-nov-05;15:28:00;31.35;1.76;262.69012;5.9545;0.08;1.135;9.815;16.08;NaN;0.195;0.74
18HU05071_810;701;46.83167;-61.25017;289276;51.66;15-nov-05;15:28:00;31.34;1.72;265.2804;5.936;0.08;1.155;9.94;16.27;NaN;0.175;0.776
18HU05071_810;701;46.83167;-61.25017;289277;25.09;15-nov-05;15:28:00;30.25;6.24;306.18896;6.801;0.08;0.565;2.84;5.21;NaN;0.39;1.54
18HU05071_810;701;46.83167;-61.25017;289278;15.27;15-nov-05;15:28:00;30.1;6.45;308.51128;6.852;0.08;0.52;2.41;4.44;NaN;0.615;2.02
18HU05071_810;701;46.83167;-61.25017;289279;5.65;15-nov-05;15:28:00;29.96;6.53;308.91322;6.857;0.09;0.53;2.515;4.815;NaN;0.7;1.611
18HU05071_810;701;46.83167;-61.25017;289280;2.28;15-nov-05;15:28:00;29.96;6.54;308.77924;6.846;0.08;0.5;2.465;4.85;NaN;0.74;1.506
18HU05071_811;711;46.7455;-60.99883;289281;50.18;15-nov-05;16:48:00;30.01;6.32;303.64334;6.677;0.095;0.585;2.905;5.63;NaN;0.235;0.929
18HU05071_811;711;46.7455;-60.99883;289282;25.78;15-nov-05;16:48:00;29.65;7.02;297.48026;6.694;0.09;0.52;2.415;5.06;NaN;0.42;1.483
18HU05071_811;711;46.7455;-60.99883;289283;15.27;15-nov-05;16:48:00;28.96;8.65;294.26474;6.477;0.09;0.445;1.595;5.24;NaN;0.495;1.549
18HU05071_811;711;46.7455;-60.99883;289284;5.85;15-nov-05;16:48:00;28.95;8.66;295.69386;6.487;0.085;0.44;1.59;5.265;NaN;0.63;1.581
18HU05071_811;711;46.7455;-60.99883;289285;2.18;15-nov-05;16:48:00;28.95;8.66;295.55988;6.481;0.095;0.445;1.56;5.325;NaN;0.635;1.445
18HU05071_812;721;46.95933;-60.21883;289286;71.89;15-nov-05;20:34:00;31.92;2.32;273.0959;6.171;0.07;1.035;8.79;11.59;NaN;0.13;0.611
18HU05071_812;721;46.95933;-60.21883;289287;51.86;15-nov-05;20:34:00;29.86;6.7;293.90746;6.494;0.12;0.58;3.28;6.65;NaN;0.32;1.14
18HU05071_812;721;46.95933;-60.21883;289288;26.48;15-nov-05;20:34:00;29.59;7.23;299.40064;6.608;0.1;0.535;2.605;5.955;NaN;0.475;1.525
18HU05071_812;721;46.95933;-60.21883;289289;15.27;15-nov-05;20:34:00;29.58;7.27;299.57928;6.614;0.115;0.52;2.595;5.755;NaN;0.52;1.525
18HU05071_812;721;46.95933;-60.21883;289290;5.26;15-nov-05;20:34:00;29.57;7.3;299.93656;6.622;0.09;0.51;2.49;5.75;NaN;0.555;1.588
18HU05071_812;721;46.95933;-60.21883;289291;1.59;15-nov-05;20:34:00;29.57;7.3;300.1152;6.619;0.07;0.515;2.515;5.81;NaN;0.475;1.537
18HU05071_813;731;47.02183;-60.112;289292;179.22;15-nov-05;21:44:00;33.87;4.07;178.14874;3.981;0.045;1.46;18.415;23.55;NaN;NaN;0.47
18HU05071_813;731;47.02183;-60.112;289293;93.2;15-nov-05;21:44:00;32.05;2.15;279.88422;6.438;0.04;0.93;7.96;9.68;NaN;0.13;0.63
18HU05071_813;731;47.02183;-60.112;289294;53.94;15-nov-05;21:44:00;31.61;2.01;272.2027;6.078;0.08;1.05;9.175;13.715;NaN;0.12;0.614
18HU05071_813;731;47.02183;-60.112;289295;25.19;15-nov-05;21:44:00;30.47;6.13;309.76176;6.877;0.08;0.52;2.09;4.01;NaN;0.535;1.844
18HU05071_813;731;47.02183;-60.112;289296;15.87;15-nov-05;21:44:00;30.22;6.38;306.45692;6.811;0.105;0.52;2.375;4.7;NaN;0.405;1.6
18HU05071_813;731;47.02183;-60.112;289297;5.26;15-nov-05;21:44:00;30.2;6.4;307.12682;6.888;0.105;0.545;2.39;4.355;NaN;0.425;1.532
18HU05071_813;731;47.02183;-60.112;289298;2.28;15-nov-05;21:44:00;30.17;6.42;307.12682;6.805;0.095;0.545;2.435;4.57;NaN;0.375;1.528
18HU05071_814;741;47.097;-59.99233;289299;314.13;15-nov-05;23:13:00;34.76;5.43;143.40326;3.221;0.02;1.67667;23.17;30.965;NaN;NaN;0.35
18HU05071_814;741;47.097;-59.99233;289300;299.87;15-nov-05;23:13:00;34.73;5.53;143.44792;2.101;0.005;1.63;22.78;27.64;NaN;NaN;0.348
18HU05071_814;741;47.097;-59.99233;289301;193.59;15-nov-05;23:13:00;33.91;4.16;170.02062;3.393;0.03;1.655;20.32;26.025;NaN;NaN;0.392
18HU05071_814;741;47.097;-59.99233;289302;101.92;15-nov-05;23:13:00;32.53;1.72;282.07256;6.369;0.035;1.005;9.08;9.035;NaN;0.07;0.524
18HU05071_814;741;47.097;-59.99233;289303;49.38;15-nov-05;23:13:00;31.87;2;280.42014;6.293;0.045;1.035;8.62;11.475;NaN;0.12;0.662
18HU05071_814;741;47.097;-59.99233;289304;25.39;15-nov-05;23:13:00;30.47;6.15;308.24332;6.866;0.1;0.52;2.26;4.28;NaN;0.6;2.441
18HU05071_814;741;47.097;-59.99233;289305;14.87;15-nov-05;23:13:00;30.46;6.18;309.62778;6.882;0.1;0.495;2.185;3.97;NaN;0.745;2.484
18HU05071_814;741;47.097;-59.99233;289306;5.26;15-nov-05;23:13:00;30.46;6.19;309.76176;6.889;0.095;0.495;2.215;3.975;NaN;0.72;2.518
18HU05071_814;741;47.097;-59.99233;289307;2.58;15-nov-05;23:13:00;30.46;6.18;309.76176;8.382;0.09;0.495;2.18;4.11;NaN;0.625;2.479
18HU05071_815;751;47.27167;-59.78733;289308;454.48;16-nov-05;01:16:00;34.83;5.03;180.69436;4.0555;0.02;1.54;21.225;28.76;NaN;NaN;0.345
18HU05071_815;751;47.27167;-59.78733;289309;401.93;16-nov-05;01:16:00;34.82;5.12;176.49632;3.861;0.015;1.56;21.63;28.86;NaN;NaN;0.347
18HU05071_815;751;47.27167;-59.78733;289310;295.11;16-nov-05;01:16:00;34.7;5.7;160.41872;3.533;0.02;1.55;22.205;23.825;NaN;NaN;0.349
18HU05071_815;751;47.27167;-59.78733;289311;201.71;16-nov-05;01:16:00;34.36;6.06;181.85552;3.994;0.015;1.36333;18.73667;17.81;NaN;NaN;0.355
18HU05071_815;751;47.27167;-59.78733;289312;97.46;16-nov-05;01:16:00;32.73;0.58;301.27636;6.925;0.155;0.89;7.69;6.135;NaN;0.03;0.452
18HU05071_815;751;47.27167;-59.78733;289313;50.67;16-nov-05;01:16:00;32.05;5.14;301.99092;6.724;0.19;0.59;3.31;3.375;NaN;0.195;0.869
18HU05071_815;751;47.27167;-59.78733;289314;24.89;16-nov-05;01:16:00;31.64;7.05;303.73266;6.73;0.12333;0.425;1.47333;2.165;NaN;0.815;2.793
18HU05071_815;751;47.27167;-59.78733;289315;14.97;16-nov-05;01:16:00;31.64;7.05;303.2414;6.727;0.13;0.415;1.46;2.225;NaN;0.775;2.829
18HU05071_815;751;47.27167;-59.78733;289316;5.16;16-nov-05;01:16:00;31.64;7.05;303.0181;6.744;0.135;0.405;1.465;2.25;NaN;0.78;2.74
18HU05071_815;751;47.27167;-59.78733;289317;2.88;16-nov-05;01:16:00;31.64;7.05;302.92878;6.744;0.135;0.41;1.445;2.22;NaN;0.82;2.685
18HU05071_816;761;47.43467;-59.5625;289318;465.06;16-nov-05;03:44:00;34.83;4.93;192.08266;4.318;0.02;1.51;20.755;26.875;NaN;NaN;0.33
18HU05071_816;761;47.43467;-59.5625;289319;396.87;16-nov-05;03:44:00;34.83;4.99;192.2613;4.316;0.02;1.48;20.9;24.93;NaN;NaN;0.326
18HU05071_816;761;47.43467;-59.5625;289320;297.88;16-nov-05;03:44:00;34.74;5.82;177.88078;3.98;0.02;1.475;21.655;19.62;NaN;NaN;0.329
18HU05071_816;761;47.43467;-59.5625;289321;198.34;16-nov-05;03:44:00;34.35;6.24;195.8341;4.335;0.02;1.27;17.175;14.97;NaN;NaN;0.352
18HU05071_816;761;47.43467;-59.5625;289322;100.13;16-nov-05;03:44:00;32.75;1.6;293.14824;6.623;0.025;0.95;8.475;6.735;NaN;0.03;0.404
18HU05071_816;761;47.43467;-59.5625;289323;50.07;16-nov-05;03:44:00;32.11;4.68;300.15986;6.807;0.19;0.59;3.16;3.42;NaN;0.18;0.793
18HU05071_816;761;47.43467;-59.5625;289324;24.99;16-nov-05;03:44:00;31.67;7.41;301.32102;6.664;0.11;0.39;1.1;1.995;NaN;0.6;2.156
18HU05071_816;761;47.43467;-59.5625;289325;15.07;16-nov-05;03:44:00;31.67;7.41;301.58898;6.641;0.11;0.375;1.045;1.99;NaN;0.635;2.063
18HU05071_816;761;47.43467;-59.5625;289326;5.06;16-nov-05;03:44:00;31.68;7.41;301.27636;6.665;0.105;0.355;1.03;2.095;NaN;0.55;2.147
18HU05071_816;761;47.43467;-59.5625;289327;1.49;16-nov-05;03:44:00;31.68;7.41;301.2317;6.677;0.11;0.37;1.045;1.945;NaN;0.6;2.143
18HU05071_817;771;47.5815;-59.342;289328;257.47;16-nov-05;06:12:00;34.63;6.06;182.07882;4.045;0.045;1.225;16.16;14.47;NaN;NaN;0.29
18HU05071_817;771;47.5815;-59.342;289329;199.03;16-nov-05;06:12:00;34.46;6.07;188.86714;4.157;0.02;1.325;19.175;17.34333;NaN;NaN;0.307
18HU05071_817;771;47.5815;-59.342;289330;98.94;16-nov-05;06:12:00;32.8;2.11;289.03952;6.517;0.085;0.89;8.16;7.10667;NaN;0.04;0.436
