CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CHL_01;PO4_01;OXYM_01;NO3_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18MT71036_434;F1181;47.92722;-69.58667;348;0;23-aug-71;13:45:00;NaN;0.82;5.891;8.55
18MT71036_434;F1181;47.92722;-69.58667;349;5;23-aug-71;13:45:00;NaN;1.09;5.813;8.89
18MT71036_434;F1181;47.92722;-69.58667;350;10;23-aug-71;13:45:00;NaN;0.91;6.014;9.39
18MT71036_434;F1181;47.92722;-69.58667;351;15;23-aug-71;13:45:00;NaN;1.22;5.634;11.04
18MT71036_435;F172_11;47.97861;-69.71667;300;0;22-aug-71;08:25:00;1.1;0.98;5.79;8.93
18MT71036_435;F172_11;47.97861;-69.71667;301;3;22-aug-71;08:25:00;NaN;1.09;5.712;7.79
18MT71036_435;F172_11;47.97861;-69.71667;302;6;22-aug-71;08:25:00;NaN;1;5.69;6.94
18MT71036_435;F172_11;47.97861;-69.71667;303;9;22-aug-71;08:25:00;NaN;1.11;5.656;7.34
18MT71036_435;F172_11;47.97861;-69.71667;304;15;22-aug-71;08:25:00;NaN;1;5.566;6.45
18MT71036_435;F172_11;47.97861;-69.71667;305;30;22-aug-71;08:25:00;NaN;1.3;5.454;6.05
18MT71036_436;F172_21;47.97861;-69.71667;306;0;22-aug-71;10:30:00;1.3;1.26;5.522;7.78
18MT71036_436;F172_21;47.97861;-69.71667;307;8;22-aug-71;10:30:00;NaN;1.23;5.499;7.73
18MT71036_436;F172_21;47.97861;-69.71667;308;17;22-aug-71;10:30:00;NaN;1.01;5.522;9.19
18MT71036_436;F172_21;47.97861;-69.71667;309;25;22-aug-71;10:30:00;NaN;0.99;5.488;8.45
18MT71036_436;F172_21;47.97861;-69.71667;310;43;22-aug-71;10:30:00;NaN;1.12;5.499;7.11
18MT71036_436;F172_21;47.97861;-69.71667;311;77;22-aug-71;10:30:00;NaN;1.29;5.006;8.65
18MT71036_437;F172_31;47.97861;-69.71667;312;0;22-aug-71;12:40:00;0.2;1.06;5.824;3.93
18MT71036_437;F172_31;47.97861;-69.71667;313;4;22-aug-71;12:40:00;NaN;0.74;5.701;7.25
18MT71036_437;F172_31;47.97861;-69.71667;316;30;22-aug-71;12:40:00;NaN;0.93;5.029;11
18MT71036_437;F172_31;47.97861;-69.71667;317;62;22-aug-71;12:40:00;NaN;1.33;5.062;10.43
18MT71036_438;F172_41;47.97861;-69.71667;318;0;22-aug-71;14:45:00;0.12;0.86;5.757;8.15
18MT71036_438;F172_41;47.97861;-69.71667;319;3;22-aug-71;14:45:00;NaN;1.05;5.734;9.4
18MT71036_438;F172_41;47.97861;-69.71667;320;5;22-aug-71;14:45:00;NaN;1.25;5.734;10.4
18MT71036_438;F172_41;47.97861;-69.71667;321;8;22-aug-71;14:45:00;NaN;1.05;5.634;8.23
18MT71036_438;F172_41;47.97861;-69.71667;322;18;22-aug-71;14:45:00;NaN;1.11;5.69;7
18MT71036_438;F172_41;47.97861;-69.71667;323;26;22-aug-71;14:45:00;NaN;0.87;5.309;NaN
18MT71036_439;F172_51;47.97861;-69.71667;324;0;22-aug-71;16:45:00;0.27;0.89;5.734;11.19
18MT71036_439;F172_51;47.97861;-69.71667;325;5;22-aug-71;16:45:00;NaN;0.93;5.6;8.47
18MT71036_439;F172_51;47.97861;-69.71667;326;10;22-aug-71;16:45:00;NaN;1.19;5.611;7.48
18MT71036_439;F172_51;47.97861;-69.71667;327;15;22-aug-71;16:45:00;NaN;0.96;5.656;8.62
18MT71036_439;F172_51;47.97861;-69.71667;328;25;22-aug-71;16:45:00;NaN;0.93;5.656;8.65
18MT71036_439;F172_51;47.97861;-69.71667;329;50;22-aug-71;16:45:00;NaN;1.24;5.443;9.76
18MT71036_440;F172_61;47.97861;-69.71667;330;0;22-aug-71;18:50:00;NaN;1.11;5.757;8.03
18MT71036_440;F172_61;47.97861;-69.71667;331;3;22-aug-71;18:50:00;NaN;0.89;5.712;4.75
18MT71036_440;F172_61;47.97861;-69.71667;332;7;22-aug-71;18:50:00;NaN;0.96;5.634;7.1
18MT71036_440;F172_61;47.97861;-69.71667;333;12;22-aug-71;18:50:00;NaN;0.86;5.768;NaN
18MT71036_440;F172_61;47.97861;-69.71667;334;23;22-aug-71;18:50:00;NaN;1.01;5.634;8.55
18MT71036_440;F172_61;47.97861;-69.71667;335;48;22-aug-71;18:50:00;NaN;1.03;5.466;8.78
18MT71036_441;F172_71;47.97861;-69.71667;336;0;22-aug-71;20:45:00;NaN;1.02;5.645;8.51
18MT71036_441;F172_71;47.97861;-69.71667;337;3;22-aug-71;20:45:00;NaN;0.94;5.701;6.15
18MT71036_441;F172_71;47.97861;-69.71667;338;7;22-aug-71;20:45:00;NaN;1.2;5.813;6.25
18MT71036_441;F172_71;47.97861;-69.71667;339;11;22-aug-71;20:45:00;NaN;0.93;5.69;7.94
18MT71036_441;F172_71;47.97861;-69.71667;340;20;22-aug-71;20:45:00;NaN;1.01;5.566;6.15
18MT71036_441;F172_71;47.97861;-69.71667;341;39;22-aug-71;20:45:00;NaN;1.03;5.477;9.7
18MT71036_442;F1721;47.97861;-69.71667;352;0;23-aug-71;16:00:00;NaN;1.06;6.126;7.76
18MT71036_442;F1721;47.97861;-69.71667;353;4;23-aug-71;16:00:00;NaN;1.13;6.306;7.05
18MT71036_442;F1721;47.97861;-69.71667;354;7;23-aug-71;16:00:00;NaN;1.03;NaN;8.68
18MT71036_442;F1721;47.97861;-69.71667;355;11;23-aug-71;16:00:00;NaN;1.19;5.634;8.11
18MT71036_442;F1721;47.97861;-69.71667;356;18;23-aug-71;16:00:00;NaN;1.06;5.611;9.05
18MT71036_442;F1721;47.97861;-69.71667;357;36;23-aug-71;16:00:00;NaN;1.08;5.499;8.48
18MT71036_443;F4831;47.80444;-69.84222;342;0;23-aug-71;11:40:00;NaN;0.78;5.824;8.82
18MT71036_443;F4831;47.80444;-69.84222;343;5;23-aug-71;11:40:00;NaN;1.16;5.701;8.78
18MT71036_443;F4831;47.80444;-69.84222;344;9;23-aug-71;11:40:00;NaN;1.03;5.533;6.4
18MT71036_443;F4831;47.80444;-69.84222;345;14;23-aug-71;11:40:00;NaN;1.23;5.6;9.33
18MT71036_443;F4831;47.80444;-69.84222;346;23;23-aug-71;11:40:00;NaN;0.85;5.421;NaN
18MT71036_443;F4831;47.80444;-69.84222;347;46;23-aug-71;11:40:00;NaN;0.97;5.387;11.03
