CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU92037_355;CTD-01;42.2;-54.65;113301;200;18-sep-92;13:43:00;11.6;4.729;5.19;0.7;11.16;0.007
18HU92037_355;CTD-01;42.2;-54.65;113302;150;18-sep-92;13:43:00;12.4;4.802;4.51;0.95;10.75;0.007
18HU92037_355;CTD-01;42.2;-54.65;113303;140;18-sep-92;13:43:00;12.6;4.774;4.2;0.57;10.18;0.007
18HU92037_355;CTD-01;42.2;-54.65;113304;130;18-sep-92;13:43:00;12.7;4.748;4.06;0.71;9.9;0.007
18HU92037_355;CTD-01;42.2;-54.65;113305;120;18-sep-92;13:43:00;12.8;4.878;3.54;0.61;8.68;0.015
18HU92037_355;CTD-01;42.2;-54.65;113306;110;18-sep-92;13:43:00;12.8;4.994;3.34;0.57;8.24;0.029
18HU92037_355;CTD-01;42.2;-54.65;113307;100;18-sep-92;13:43:00;13;4.967;3.46;0.54;8.43;0.051
18HU92037_355;CTD-01;42.2;-54.65;113308;90;18-sep-92;13:43:00;13.2;4.79;2.64;0.49;6.58;0.059
18HU92037_355;CTD-01;42.2;-54.65;113309;80;18-sep-92;13:43:00;13.4;5.115;2.83;0.57;6.44;0.088
18HU92037_355;CTD-01;42.2;-54.65;113310;70;18-sep-92;13:43:00;13.1;5.165;2.17;0.39;4.14;0.147
18HU92037_355;CTD-01;42.2;-54.65;113311;60;18-sep-92;13:43:00;14.3;5.445;1.5;0.28;0.99;0.272
18HU92037_355;CTD-01;42.2;-54.65;113312;50;18-sep-92;13:43:00;16.4;5.727;0.97;0.15;0.04;0.199
18HU92037_355;CTD-01;42.2;-54.65;113313;40;18-sep-92;13:43:00;18.9;5.701;0.81;0.14;0.03;0.162
