CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18NE13022_002;001;44.273;-63.323;383784;27-jun-13;08:08:00;34.63;9.6631;2.9121;0.0111;16.165;1.272;15.775;34.6334;0.105;NaN
18NE13022_002;001;44.273;-63.323;383785;27-jun-13;08:08:00;33.277;5.9552;5.0288;0.0703;5.665;0.777;8.26;NaN;0.125;NaN
18NE13022_002;001;44.273;-63.323;383786;27-jun-13;08:08:00;32.5143;3.3752;5.4978;0.0425;5.395;0.85;8.795;NaN;0.245;NaN
18NE13022_002;001;44.273;-63.323;383787;27-jun-13;08:08:00;32.1545;2.8415;6.0389;0.399;3.55;0.7665;4.815;NaN;0.19;NaN
18NE13022_002;001;44.273;-63.323;383788;27-jun-13;08:08:00;32.0222;3.2156;6.2868;0.5487;1.025;0.465;1.02;31.9783;0.08;NaN
18NE13022_002;001;44.273;-63.323;383789;27-jun-13;08:08:00;31.8228;3.5936;6.685;1.2534;0.615;0.38;0.18;NaN;0.055;NaN
18NE13022_002;001;44.273;-63.323;383790;27-jun-13;08:08:00;31.6375;7.9347;6.3337;0.6804;1.09;0.2645;0.41;NaN;0.285;NaN
18NE13022_002;001;44.273;-63.323;383791;27-jun-13;08:08:00;31.1266;13.6718;5.2865;0.3602;0.755;0.2485;0;NaN;0.305;NaN
18NE13022_002;001;44.273;-63.323;383792;27-jun-13;08:08:00;31.1268;13.7176;5.289;0.3325;0.825;0.2355;0;NaN;0.045;NaN
18NE13022_002;001;44.273;-63.323;383793;27-jun-13;08:08:00;31.1172;14.065;5.2454;0.3547;0.525;0.2405;0;31.1441;0.055;NaN
18NE13022_003;002;44.243;-63.715;383794;02-jul-13;10:39:00;33.1875;5.477;4.5741;0.0185;10.79;1.055;8.53;33.0161;0.28;NaN
18NE13022_003;002;44.243;-63.715;383795;02-jul-13;10:39:00;31.953;3.1995;6.2669;0.6267;2.31;0.64;7.33;NaN;0.17;NaN
18NE13022_003;002;44.243;-63.715;383796;02-jul-13;10:39:00;31.3144;4.3478;6.5901;0.6446;1.515;0.5075;4.9;NaN;0.09;NaN
18NE13022_003;002;44.243;-63.715;383797;02-jul-13;10:39:00;30.5042;12.2276;5.4803;0.5909;0.62;0.2745;3.08;NaN;0.04;NaN
18NE13022_004;003;44.085;-63.906;383798;03-jul-13;12:57:00;34.6439;9.7439;2.9578;0.0185;15.225;1.2555;17.43;34.6512;0.09;NaN
18NE13022_004;003;44.085;-63.906;383799;03-jul-13;12:57:00;32.2548;3.5709;5.9443;0.5551;1.99;0.595;4.26;NaN;0.15;NaN
18NE13022_004;003;44.085;-63.906;383800;03-jul-13;12:57:00;31.7606;5.0127;6.5947;0.7879;0.98;0.423;0.16;NaN;0.05;NaN
18NE13022_004;003;44.085;-63.906;383801;03-jul-13;12:57:00;30.527;12.6874;5.4063;0.5193;0.445;0.2645;0;NaN;0.03;NaN
18NE13022_005;004;43.605;-63.848;383802;03-jul-13;04:37:00;35.0329;10.3707;2.4663;0.0333;17.21;1.3535;18.82;35.0446;0.055;NaN
18NE13022_005;004;43.605;-63.848;383803;03-jul-13;04:37:00;33.0008;4.9142;4.9096;0.0296;8.595;0.9905;10.17;NaN;0.045;NaN
18NE13022_005;004;43.605;-63.848;383804;03-jul-13;04:37:00;32.1661;3.3988;6.1725;0.5909;2.61;0.6775;3.405;NaN;0.195;NaN
18NE13022_005;004;43.605;-63.848;383805;03-jul-13;04:37:00;31.7351;5.1888;6.5413;0.7521;0.52;0.3905;0;NaN;0.045;NaN
18NE13022_005;004;43.605;-63.848;383806;03-jul-13;04:37:00;30.6908;13.9839;5.2324;0.327;0.445;0.238;0;NaN;0.025;NaN
18NE13022_006;005;43.416;-63.726;383807;03-jul-13;07:29:00;35.0314;10.2879;2.4077;0.0148;NaN;NaN;NaN;35.0416;NaN;NaN
18NE13022_006;005;43.416;-63.726;383808;03-jul-13;07:29:00;32.2526;3.2486;5.8783;0.2882;3.635;0.749;4.665;NaN;0.265;NaN
18NE13022_006;005;43.416;-63.726;383809;03-jul-13;07:29:00;31.4308;7.4412;6.4319;0.6872;0.64;0.353;0;NaN;0.04;NaN
18NE13022_006;005;43.416;-63.726;383810;03-jul-13;07:29:00;30.7354;14.2709;5.2057;0.3658;0.48;0.2465;0.135;NaN;0.04;NaN
18NE13022_007;006;43.145;-63.743;383811;03-jul-13;10:08:00;34.7822;9.6003;3.4334;0.0148;10.16;1.132;15.67;34.7573;0.11;NaN
18NE13022_007;006;43.145;-63.743;383812;03-jul-13;10:08:00;32.2205;5.776;6.3384;1.2176;1.37;0.387;0.155;NaN;0.035;NaN
18NE13022_007;006;43.145;-63.743;383813;03-jul-13;10:08:00;31.5414;10.0751;6.0724;0.7879;1.085;0.3105;0.185;NaN;0.03;NaN
18NE13022_007;006;43.145;-63.743;383814;03-jul-13;10:08:00;30.865;14.6802;5.152;0.3325;0.71;0.2355;0.105;NaN;0.03;NaN
18NE13022_008;007;43.067;-64.089;383815;03-jul-13;01:29:00;32.3096;3.8233;5.6932;0.0795;5.25;0.764;6.38;32.3297;0.27;NaN
18NE13022_008;007;43.067;-64.089;383816;03-jul-13;01:29:00;32.132;3.8341;5.8002;5.0597;3.295;0.64;1.105;NaN;0.105;NaN
18NE13022_008;007;43.067;-64.089;383817;03-jul-13;01:29:00;31.4758;8.6041;6.2097;1.0923;1.4;0.3;0;NaN;0.025;NaN
18NE13022_008;007;43.067;-64.089;383818;03-jul-13;01:29:00;31.5228;13.7781;5.2953;0.8058;1.69;0.2905;0;NaN;0.02;NaN
18NE13022_009;008;43.335;-64.133;383819;03-jul-13;05:47:00;32.935;5.2937;5.0432;0.0166;7.69;0.9135;8.58;32.946;0.09;NaN
18NE13022_009;008;43.335;-64.133;383820;03-jul-13;05:47:00;32.1538;2.8983;6.0643;0.2662;3.285;0.7925;4.155;NaN;0.22;NaN
18NE13022_009;008;43.335;-64.133;383821;03-jul-13;05:47:00;31.3855;6.8814;6.3561;0.9132;0.665;0.4305;0;NaN;0.03;NaN
18NE13022_009;008;43.335;-64.133;383822;03-jul-13;05:47:00;31.0159;12.8891;5.4801;0.4101;1.1;0.3305;0;NaN;0.025;NaN
18NE13022_010;009;43.419;-64.523;383823;03-jul-13;08:47:00;32.7944;4.5836;5.1628;0.0129;7.405;0.5;8.055;32.8136;0.25;NaN
18NE13022_010;009;43.419;-64.523;383824;03-jul-13;08:47:00;32.2383;2.9293;5.9;0.0721;5.025;0.801;6.245;NaN;0.225;NaN
18NE13022_010;009;43.419;-64.523;383825;03-jul-13;08:47:00;31.6985;3.0581;6.4697;0.4656;3.14;0.7065;3.495;NaN;0.18;NaN
18NE13022_010;009;43.419;-64.523;383826;03-jul-13;08:47:00;31.012;13.0931;5.4493;0.388;1.105;0.2495;0.25;NaN;0.03;NaN
18NE13022_012;011;43.463;-64.998;383827;04-jul-13;12:37:00;32.9879;6.0004;5;0.024;8.19;0.8275;9.06;33.0026;0.085;NaN
18NE13022_012;011;43.463;-64.998;383828;04-jul-13;12:37:00;32.3014;4.2949;5.6826;0.1054;5.21;0.7295;5.64;NaN;0.29;NaN
18NE13022_012;011;43.463;-64.998;383829;04-jul-13;12:37:00;32.0184;8.7828;5.9657;1.4456;2.605;0.3775;0.355;NaN;0.06;NaN
18NE13022_012;011;43.463;-64.998;383830;04-jul-13;12:37:00;31.1898;12.4253;5.6589;1.0385;1.595;0.266;0.245;NaN;0.05;NaN
18NE13022_013;012;43.195;-65.011;383831;04-jul-13;03:19:00;33.397;6.6806;4.5323;0.0259;10.645;0.9635;10.605;33.4098;0.07;NaN
18NE13022_013;012;43.195;-65.011;383832;04-jul-13;03:19:00;33.3209;6.5177;4.6482;0.0684;9.9;0.939;10.125;NaN;0.05;NaN
18NE13022_013;012;43.195;-65.011;383833;04-jul-13;03:19:00;32.2383;4.032;5.765;0.5551;4.135;0.6985;3.765;NaN;0.29;NaN
18NE13022_013;012;43.195;-65.011;383834;04-jul-13;03:19:00;32.0524;9.3175;5.8533;2.292;3.18;0.39;0;NaN;0.07;NaN
18NE13022_013;012;43.195;-65.011;383835;04-jul-13;03:19:00;31.7807;11.4811;5.72;1.1102;2.515;0.321;0;NaN;0.05;NaN
18NE13022_014;013;43.039;-65.088;383836;04-jul-13;05:45:00;33.3567;6.5859;4.5716;0.0185;10.16;0.9545;10.34;33.3698;0.07;NaN
18NE13022_014;013;43.039;-65.088;383837;04-jul-13;05:45:00;32.4956;7.2298;5.4852;0.6804;5.17;0.6365;4.705;NaN;0.26;NaN
18NE13022_014;013;43.039;-65.088;383838;04-jul-13;05:45:00;32.1677;10.4988;5.7764;2.3636;3.475;0.4095;0.355;NaN;0.08;NaN
18NE13022_014;013;43.039;-65.088;383839;04-jul-13;05:45:00;31.9028;11.7838;5.6277;1.2534;2.675;0.307;0;NaN;0.03;NaN
18NE13022_015;014;42.969;-64.722;383840;04-jul-13;08:16:00;32.6156;5.8674;5.3965;0.2549;6.025;0.76;6.95;32.6378;0.07;NaN
18NE13022_015;014;42.969;-64.722;383841;04-jul-13;08:16:00;32.6157;5.8707;5.4112;1.6294;5.94;0.7685;6.865;NaN;0.08;NaN
18NE13022_015;014;42.969;-64.722;383842;04-jul-13;08:16:00;32.0147;9.6564;5.9723;0.1607;2.275;0.3475;0;NaN;0.035;NaN
18NE13022_015;014;42.969;-64.722;383843;04-jul-13;08:16:00;31.7421;12.8542;5.4435;0.5653;2.325;0.303;0;NaN;0.03;NaN
18NE13022_016;015;42.937;-64.883;383844;04-jul-13;10:29:00;32.6625;6.2276;5.3562;0.1884;6.105;0.742;6.66;32.6777;0.085;NaN
18NE13022_016;015;42.937;-64.883;383845;04-jul-13;10:29:00;32.6638;6.2169;5.3669;0.1718;6.06;0.745;6.61;NaN;0.08;NaN
18NE13022_016;015;42.937;-64.883;383846;04-jul-13;10:29:00;32.2531;7.9187;5.7008;2.1202;3.67;0.5105;0.69;NaN;0.15;NaN
18NE13022_016;015;42.937;-64.883;383847;04-jul-13;10:29:00;31.6922;13.6408;5.3398;0.5708;2.385;0.2885;0;NaN;0.03;NaN
18NE13022_017;016;42.752;-65.342;383848;04-jul-13;01:47:00;32.7317;7.0118;5.2677;0.1773;6.24;0.7145;6.725;32.746;0.18;NaN
18NE13022_017;016;42.752;-65.342;383849;04-jul-13;01:47:00;32.7075;7.024;5.2929;0.2051;6.095;0.701;6.345;NaN;0.18;NaN
18NE13022_017;016;42.752;-65.342;383850;04-jul-13;01:47:00;32.3996;9.2815;5.8483;2.6985;4.17;0.4425;1.28;NaN;0.13;NaN
18NE13022_017;016;42.752;-65.342;383851;04-jul-13;01:47:00;32.407;10.0459;6.0777;3.7586;3.85;0.358;0;NaN;0.04;NaN
18NE13022_018;017;42.619;-65.33;383852;04-jul-13;03:49:00;32.7907;6.7144;5.3335;0.1552;5.22;0.686;6.31;32.8052;0.195;NaN
18NE13022_018;017;42.619;-65.33;383853;04-jul-13;03:49:00;32.7698;6.6751;5.3504;0.1718;5.17;0.6775;6.305;NaN;0.195;NaN
18NE13022_018;017;42.619;-65.33;383854;04-jul-13;03:49:00;32.6097;7.1357;5.4166;0.4933;4.835;0.6295;5.295;NaN;0.21;NaN
18NE13022_018;017;42.619;-65.33;383855;04-jul-13;03:49:00;32.2901;10.5763;5.9361;2.6503;3.51;0.3445;0;NaN;0.055;NaN
18NE13022_019;018;42.508;-65.108;383856;04-jul-13;06:13:00;33.7253;7.5029;4.7479;0.0592;6.395;0.83;9.925;33.737;0.09;NaN
18NE13022_019;018;42.508;-65.108;383857;04-jul-13;06:13:00;32.6391;5.1531;5.4411;0.098;5.92;0.787;7.56;NaN;0.12;NaN
18NE13022_019;018;42.508;-65.108;383858;04-jul-13;06:13:00;31.7601;5.6909;6.3849;0.8237;2.155;0.488;0.5;NaN;0.105;NaN
18NE13022_019;018;42.508;-65.108;383859;04-jul-13;06:13:00;31.8379;11.779;5.6946;0.9132;2.325;0.405;0;NaN;0.035;NaN
18NE13022_020;019;42.43;-65.529;383860;04-jul-13;09:16:00;33.9707;8.6144;4.5916;0.1091;6.505;0.827;10.41;33.9668;0.1;NaN
18NE13022_020;019;42.43;-65.529;383861;04-jul-13;09:16:00;32.5044;6.0094;5.6249;0.6625;4.55;0.6745;5.375;NaN;0.16;NaN
18NE13022_020;019;42.43;-65.529;383862;04-jul-13;09:16:00;31.8497;10.0395;5.8193;1.343;2.275;0.402;0.485;NaN;0.07;NaN
18NE13022_020;019;42.43;-65.529;383863;04-jul-13;09:16:00;31.5574;13.1935;5.4655;0.4323;1.56;0.2775;0.425;NaN;0.03;NaN
18NE13022_021;020;42.574;-65.634;383864;04-jul-13;11:43:00;33.0323;6.3555;5.2626;0.2605;5.27;0.75;7.465;33.0473;0.13;NaN
18NE13022_021;020;42.574;-65.634;383865;04-jul-13;11:43:00;32.9725;6.1906;5.3077;0.2549;5.395;0.748;7.5;NaN;0.125;NaN
18NE13022_021;020;42.574;-65.634;383866;04-jul-13;11:43:00;31.8606;7.5464;6.046;1.146;2.48;0.4395;0.985;NaN;0.1;NaN
18NE13022_021;020;42.574;-65.634;383867;04-jul-13;11:43:00;31.5672;12.692;5.5594;0.5708;1.67;0.283;0.205;NaN;0.03;NaN
18NE13022_023;022;42.445;-65.702;383868;05-jul-13;02:37:00;34.0578;8.766;4.527;0.0925;6.555;0.8505;10.76;34.0642;0.08;NaN
18NE13022_023;022;42.445;-65.702;383869;05-jul-13;02:37:00;32.9153;9.5709;5.3249;0.6446;3.535;0.495;3.72;NaN;0.1;NaN
18NE13022_023;022;42.445;-65.702;383870;05-jul-13;02:37:00;32.7514;10.2993;5.4458;0.8595;2.95;0.407;1.985;NaN;0.085;NaN
18NE13022_023;022;42.445;-65.702;383871;05-jul-13;02:37:00;32.0975;14.0412;5.2943;0.4988;1.84;0.266;0;NaN;0.03;NaN
18NE13022_026;025;42.538;-65.71;383872;05-jul-13;07:11:00;33.2005;6.6617;5.1448;0.2937;5.23;0.7315;7.44;33.2197;0.105;6.058
18NE13022_026;025;42.538;-65.71;383873;05-jul-13;07:11:00;32.6814;5.5133;5.5538;0.6429;4.655;0.6985;6;NaN;0.195;NaN
18NE13022_026;025;42.538;-65.71;383874;05-jul-13;07:11:00;32.0999;5.7545;6.0467;0.8595;3.025;0.5475;2.605;NaN;0.195;NaN
18NE13022_026;025;42.538;-65.71;383875;05-jul-13;07:11:00;31.7289;12.6993;5.5176;0.6804;1.695;0.328;0.34;NaN;0.025;6.566
18NE13022_028;027;42.695;-65.814;383876;05-jul-13;08:59:00;32.9985;6.9322;5.2224;0.194;5.18;0.69;7.03;NaN;0.155;6.119
18NE13022_028;027;42.695;-65.814;383877;05-jul-13;08:59:00;32.7904;7.5052;5.2917;0.2161;5.525;0.6575;6.5;NaN;0.235;NaN
18NE13022_028;027;42.695;-65.814;383878;05-jul-13;08:59:00;32.604;8.8776;5.466;0.6706;4.5;0.5615;4.19;NaN;0.28;NaN
18NE13022_028;027;42.695;-65.814;383879;05-jul-13;08:59:00;32.3891;10.9775;5.8424;2.9394;3.425;0.3505;0.39;NaN;0.04;6.875
18NE13022_029;028;42.767;-65.907;383880;05-jul-13;01:29:00;33.0182;8.4402;5.137;0.2161;5.585;0.8965;7.095;NaN;0.345;6.0635
18NE13022_029;028;42.767;-65.907;383881;05-jul-13;01:29:00;32.8818;8.4738;5.2258;0.2494;4.78;0.6195;5.715;NaN;0.29;NaN
18NE13022_029;028;42.767;-65.907;383882;05-jul-13;01:29:00;32.8213;8.5959;5.2723;0.3325;4.485;0.5995;5.185;NaN;0.28;NaN
18NE13022_029;028;42.767;-65.907;383883;05-jul-13;01:29:00;32.498;9.9522;5.7814;2.3612;4.02;0.46;1.865;32.518;0.145;6.817
18NE13022_030;029;42.715;-65.97;383884;05-jul-13;02:27:00;32.9997;8.6047;5.1501;0.2937;5.16;0.647;6.335;33.0136;0.28;6.019
18NE13022_030;029;42.715;-65.97;383885;05-jul-13;02:27:00;32.8635;8.4291;5.2473;0.2549;5.065;0.642;5.835;NaN;0.295;NaN
18NE13022_030;029;42.715;-65.97;383886;05-jul-13;02:27:00;32.8093;8.4451;5.302;0.2549;5.055;0.627;5.79;NaN;0.31;NaN
18NE13022_030;029;42.715;-65.97;383887;05-jul-13;02:27:00;32.4236;11.0126;5.818;2.2648;3.685;0.3885;0.895;NaN;0.09;6.891
18NE13022_031;030;42.705;-66.085;383888;05-jul-13;04:18:00;32.8452;8.8836;5.2521;0.388;4.72;0.615;5.43;32.8593;0.27;3.079
18NE13022_031;030;42.705;-66.085;383889;05-jul-13;04:18:00;32.8372;8.8982;5.2601;0.4267;4.67;0.6025;5.27;NaN;0.275;NaN
18NE13022_031;030;42.705;-66.085;383890;05-jul-13;04:18:00;32.6115;9.5895;5.4689;1.1639;3.755;0.4875;2.73;NaN;0.185;NaN
18NE13022_031;030;42.705;-66.085;383891;05-jul-13;04:18:00;32.413;11.4906;5.764;1.9876;3.175;0.333;0.3;NaN;0.035;6.841
18NE13022_032;031;42.626;-66.491;383892;05-jul-13;08:24:00;34.9181;10.5219;4.0131;0.0296;7.015;0.892;12.95;34.929;0.06;4.732
18NE13022_032;031;42.626;-66.491;383893;05-jul-13;08:24:00;33.6959;8.2467;4.7311;0.111;6.31;0.821;9.825;NaN;0.06;NaN
18NE13022_032;031;42.626;-66.491;383894;05-jul-13;08:24:00;32.4819;11.8812;5.4543;1.0565;3.065;0.408;1.875;NaN;0.115;NaN
18NE13022_032;031;42.626;-66.491;383895;05-jul-13;08:24:00;31.9959;13.8318;5.3762;0.399;1.96;0.273;0.26;NaN;0.025;6.4
18NE13022_033;032;42.564;-66.587;383896;05-jul-13;10:37:00;35.123;9.6136;3.6056;0.0185;9.95;1.137;17.675;35.1385;0.08;4.3115
18NE13022_033;032;42.564;-66.587;383897;05-jul-13;10:37:00;32.9612;9.0405;5.1213;0.0906;5.595;0.763;8.92;NaN;0.05;NaN
18NE13022_033;032;42.564;-66.587;383898;05-jul-13;10:37:00;31.9141;13.0506;5.4947;0.4766;2.075;0.305;0;NaN;0.04;NaN
18NE13022_033;032;42.564;-66.587;383899;05-jul-13;10:37:00;31.7471;14.3084;5.3897;0.4157;2.01;0.2785;0;NaN;0.04;6.321
18NE13022_034;033;42.57;-66.161;383900;06-jul-13;01:35:00;34.8413;10.6297;4.1233;0.0333;6.64;0.824;10.86;34.8558;0.075;4.917
18NE13022_034;033;42.57;-66.161;383901;06-jul-13;01:35:00;33.2483;7.3887;5.1182;0.1739;5.635;0.754;7.375;NaN;0.115;NaN
18NE13022_034;033;42.57;-66.161;383902;06-jul-13;01:35:00;32.052;9.05;5.9501;0.9669;2.35;0.4455;0.31;NaN;0.08;NaN
18NE13022_034;033;42.57;-66.161;383903;06-jul-13;01:35:00;32.1036;14.0549;5.3932;0.3492;2.12;0.2625;0;NaN;0.04;6.34
18NE13022_035;034;42.505;-65.924;383904;06-jul-13;03:44:00;34.6124;10.2851;4.2777;0.0407;6.33;0.8345;11.05;34.6267;0.075;5.077
18NE13022_035;034;42.505;-65.924;383905;06-jul-13;03:44:00;33.4784;7.9151;4.8948;0.1073;6.3;0.84;9.72;NaN;0.09;NaN
18NE13022_035;034;42.505;-65.924;383906;06-jul-13;03:44:00;32.6179;9.7297;5.4121;1.4146;3.17;0.46;2.725;NaN;0.165;NaN
18NE13022_035;034;42.505;-65.924;383907;06-jul-13;03:44:00;32.2059;14.4769;5.3244;0.4655;2.24;0.256;0.46;NaN;0.04;6.25
18NE13022_036;035;42.314;-65.814;383908;06-jul-13;05:51:00;35.2188;9.7798;3.4704;0.0166;10.2;1.164;17.515;35.2358;0.075;4.16
18NE13022_036;035;42.314;-65.814;383909;06-jul-13;05:51:00;33.5189;8.014;4.8636;0.0999;6.295;0.819;9.41;NaN;0.065;NaN
18NE13022_036;035;42.314;-65.814;383910;06-jul-13;05:51:00;32.9274;7.85;5.2119;0.2217;5.715;0.803;9.03;NaN;0.11;NaN
18NE13022_036;035;42.314;-65.814;383911;06-jul-13;05:51:00;32.0772;14.8333;5.1966;0.6446;2.215;0.3095;1.155;NaN;0.05;6.11
18NE13022_037;036;42.28;-66.173;383912;06-jul-13;08:40:00;35.0252;7.3952;3.8698;0.0166;11.895;1.2675;19.48;35.0346;0.11;4.618
18NE13022_037;036;42.28;-66.173;383913;06-jul-13;08:40:00;34.6135;9.536;4.1031;0.024;7.845;0.941;14.065;NaN;0.055;NaN
18NE13022_037;036;42.28;-66.173;383914;06-jul-13;08:40:00;33.4475;8.4417;5.0435;0.1646;4.465;0.6585;7.49;NaN;0.07;NaN
18NE13022_037;036;42.28;-66.173;383915;06-jul-13;08:40:00;32.5066;9.5842;5.5291;1.3788;2.96;0.4715;1.905;NaN;0.21;6.503
18NE13022_037;036;42.28;-66.173;383916;06-jul-13;08:40:00;32.175;14.6396;5.2995;0.573;2.13;0.2925;0.8;NaN;0.04;6.273
18NE13022_038;037;42.225;-66.371;383917;06-jul-13;10:49:00;35.0662;8.9648;3.6828;0.0185;10.985;1.224;18.25;35.0845;0.11;4.3995
18NE13022_038;037;42.225;-66.371;383918;06-jul-13;10:49:00;33.5128;8.7093;4.9177;0.2383;4.08;0.615;6.375;NaN;0.2;NaN
18NE13022_038;037;42.225;-66.371;383919;06-jul-13;10:49:00;32.4882;10.5135;5.4479;2.0721;2.485;0.676;0.615;NaN;0.06;NaN
18NE13022_038;037;42.225;-66.371;383920;06-jul-13;10:49:00;32.2505;15.3885;5.1244;0.4157;2.23;0.268;1.315;NaN;0;6.105
18NE13022_039;038;41.929;-65.926;383921;06-jul-13;02:21:00;33.6962;8.3618;4.6508;0.0869;7.165;0.895;11.335;33.7092;0.145;5.4465
18NE13022_039;038;41.929;-65.926;383922;06-jul-13;02:21:00;32.9292;7.9819;5.2279;0.2549;5.315;0.751;8.125;NaN;0.255;NaN
18NE13022_039;038;41.929;-65.926;383923;06-jul-13;02:21:00;32.5076;11.3131;5.3894;1.6384;3.26;0.4615;2.9;NaN;0.155;NaN
18NE13022_039;038;41.929;-65.926;383924;06-jul-13;02:21:00;32.2858;15.4023;5.1402;0.4378;2.04;0.2575;0.59;NaN;0.04;NaN
18NE13022_040;039;41.845;-65.969;383925;06-jul-13;04:40:00;32.9661;9.1159;5.0627;0.3159;4.955;0.682;7.195;32.9813;0.295;7.9215
18NE13022_040;039;41.845;-65.969;383926;06-jul-13;04:40:00;32.8393;9.5322;5.1123;0.3214;4.465;0.6455;6.46;NaN;0.32;NaN
18NE13022_040;039;41.845;-65.969;383927;06-jul-13;04:40:00;32.7006;10.1449;5.1669;0.5819;3.75;0.5515;5.47;NaN;0.345;NaN
18NE13022_040;039;41.845;-65.969;383928;06-jul-13;04:40:00;32.3638;14.8109;5.2804;1.325;2.235;0.28;1.18;NaN;0.07;6.297
18NE13022_042;041;41.526;-66.016;383929;06-jul-13;08:16:00;34.9168;10.6798;4.0221;0.0333;6.68;0.846;11.635;34.8905;0.11;4.85
18NE13022_042;041;41.526;-66.016;383930;06-jul-13;08:16:00;32.9145;9.3138;5.2039;0.573;4.46;0.5935;5.42;NaN;0.235;NaN
18NE13022_042;041;41.526;-66.016;383931;06-jul-13;08:16:00;32.645;12.3324;5.2954;0.9311;2.77;0.257;0;NaN;0.055;NaN
18NE13022_042;041;41.526;-66.016;383932;06-jul-13;08:16:00;32.268;15.8816;5.1307;0.5909;1.88;0.234;0;NaN;0.04;6.076
18NE13022_043;042;41.392;-66.149;383933;06-jul-13;10:27:00;35.1967;9.6265;3.2163;0.0148;9.805;1.177;16.915;35.2066;0.105;3.7215
18NE13022_043;042;41.392;-66.149;383934;06-jul-13;10:27:00;33.2911;8.5284;4.9462;0.1794;5.625;0.734;8.57;NaN;0.11;NaN
18NE13022_043;042;41.392;-66.149;383935;06-jul-13;10:27:00;32.619;11.7509;5.4099;1.325;2.985;0.3485;0.55;NaN;0.105;NaN
18NE13022_043;042;41.392;-66.149;383936;06-jul-13;10:27:00;32.2168;15.6946;5.1462;0.6088;1.995;0.249;1.335;NaN;0.045;6.037
18NE13022_044;043;41.552;-66.141;383937;07-jul-13;12:34:00;33.6846;9.2907;4.7496;0.1386;5.22;0.7275;10.195;33.6352;0.21;5.5855
18NE13022_044;043;41.552;-66.141;383938;07-jul-13;12:34:00;32.9321;9.0399;5.133;0.2827;4.635;0.646;9.335;NaN;0.32;NaN
18NE13022_044;043;41.552;-66.141;383939;07-jul-13;12:34:00;32.4658;11.4158;5.1983;0.9132;3.72;0.535;6.255;NaN;0.28;NaN
18NE13022_044;043;41.552;-66.141;383940;07-jul-13;12:34:00;32.3183;15.855;5.1658;0.8416;1.845;0.2245;2.26;NaN;0.04;6.134
18NE13022_046;045;42.155;-66.676;383941;07-jul-13;07:41:00;34.5625;9.3941;4.0948;0.024;8.175;0.931;15.73;34.5571;0.09;4.8735
18NE13022_046;045;42.155;-66.676;383942;07-jul-13;07:41:00;33.1066;6.8269;5.1131;0.1665;5.87;0.844;11.3;NaN;0.08;NaN
18NE13022_046;045;42.155;-66.676;383943;07-jul-13;07:41:00;32.6839;7.2255;5.4159;0.5372;4.77;0.6925;7.965;NaN;0.16;NaN
18NE13022_046;045;42.155;-66.676;383944;07-jul-13;07:41:00;32.2436;15.7809;5.1173;0.3658;1.975;0.2085;0;NaN;0;6.089
18NE13022_047;046;42.333;-66.963;383945;07-jul-13;10:39:00;35.1273;8.9089;3.5349;0.0111;11.535;1.228;19.785;35.1408;0.07;4.242
18NE13022_047;046;42.333;-66.963;383946;07-jul-13;10:39:00;34.5933;9.9118;4.2348;0.0333;6.98;0.885;13.335;NaN;0.05;NaN
18NE13022_047;046;42.333;-66.963;383947;07-jul-13;10:39:00;33.3522;8.9196;4.9686;0.1332;4.675;0.644;7.275;NaN;0.11;NaN
18NE13022_047;046;42.333;-66.963;383948;07-jul-13;10:39:00;32.5266;11.0621;5.4627;1.522;2.89;0.3485;0.895;NaN;0.1;6.542
18NE13022_047;046;42.333;-66.963;383949;07-jul-13;10:39:00;32.2461;15.1829;5.2677;0.6267;2.27;0.219;0;NaN;0;6.253
18NE13022_048;047;42.319;-67.213;383950;07-jul-13;01:34:00;35.1661;9.2714;3.4606;0.0092;11.285;1.163;19.1;35.1728;0.065;4.1705
18NE13022_048;047;42.319;-67.213;383951;07-jul-13;01:34:00;32.8162;7.0675;5.1956;0.1165;5.765;0.762;8.97;NaN;0.07;NaN
18NE13022_048;047;42.319;-67.213;383952;07-jul-13;01:34:00;32.5929;9.1348;5.491;1.1997;4.195;0.5745;5.345;NaN;0.12;NaN
18NE13022_048;047;42.319;-67.213;383953;07-jul-13;01:34:00;32.3214;16.4939;5.0021;0.4046;1.705;0.1995;0;NaN;0;5.976
18NE13022_049;048;42.484;-67.332;383954;07-jul-13;04:38:00;35.0646;8.7025;3.467;0.0074;13.175;1.255;19.335;35.0732;0.065;2.7235
18NE13022_049;048;42.484;-67.332;383955;07-jul-13;04:38:00;32.9877;6.5714;5.0469;0.1036;6.835;0.8555;10.855;NaN;0.05;NaN
18NE13022_049;048;42.484;-67.332;383956;07-jul-13;04:38:00;32.7486;8.4044;5.3415;1.146;3.645;0.535;4.32;NaN;0.13;NaN
18NE13022_049;048;42.484;-67.332;383957;07-jul-13;04:38:00;32.1884;13.6143;5.5419;0.6088;1.945;0.2685;0.235;NaN;0.04;6.262
