CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CHL_01;PO4_01;OXYM_01;NO3_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18MT71031_431;F1181;47.92722;-69.58667;165;0;29-jul-71;12:08:00;0.93;0.73;304.62586;6.2
18MT71031_431;F1181;47.92722;-69.58667;166;5;29-jul-71;12:08:00;NaN;0.91;303.10742;5.55
18MT71031_431;F1181;47.92722;-69.58667;167;10;29-jul-71;12:08:00;NaN;0.98;289.12884;7.18
18MT71031_431;F1181;47.92722;-69.58667;168;15;29-jul-71;12:08:00;NaN;0.86;281.62596;4.63
18MT71031_432;F1721;47.97861;-69.71667;169;0;29-jul-71;14:00:00;0.79;0.8;288.59292;7.02
18MT71031_432;F1721;47.97861;-69.71667;170;5;29-jul-71;14:00:00;NaN;0.8;280.10752;6.62
18MT71031_432;F1721;47.97861;-69.71667;171;10;29-jul-71;14:00:00;NaN;0.84;289.12884;6.08
18MT71031_432;F1721;47.97861;-69.71667;172;15;29-jul-71;14:00:00;NaN;0.8;288.59292;4.29
18MT71031_432;F1721;47.97861;-69.71667;173;25;29-jul-71;14:00:00;NaN;0.82;280.59878;6.55
18MT71031_432;F1721;47.97861;-69.71667;174;50;29-jul-71;14:00:00;NaN;0.98;262.6008;6.03
18MT71031_433;F4831;47.80444;-69.84222;175;0;29-jul-71;16:40:00;1.14;0.56;285.10944;7.64
18MT71031_433;F4831;47.80444;-69.84222;176;5;29-jul-71;16:40:00;NaN;0.8;280.10752;6.65
18MT71031_433;F4831;47.80444;-69.84222;177;9;29-jul-71;16:40:00;NaN;0.98;282.11722;6.87
18MT71031_433;F4831;47.80444;-69.84222;178;14;29-jul-71;16:40:00;NaN;0.72;279.61626;5.23
18MT71031_433;F4831;47.80444;-69.84222;179;23;29-jul-71;16:40:00;NaN;0.9;280.10752;6.94
18MT71031_433;F4831;47.80444;-69.84222;180;46;29-jul-71;16:40:00;NaN;1.03;NaN;3.55
