CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL03004_002;STN27;47.5467;-52.5867;256081;170;19-apr-03;21:02:00;171.7;32.874;353.8827;-1.373;8.4;1.11;7.24;NaN
18TL03004_002;STN27;47.5467;-52.5867;256082;148;19-apr-03;21:02:00;149.1;32.813;360.001;-1.503;6.8;1.11;7.05;NaN
18TL03004_002;STN27;47.5467;-52.5867;256083;103;19-apr-03;21:02:00;103.88;32.717;376.6591;-1.351;5.87;0.99;5.66;0.67
18TL03004_002;STN27;47.5467;-52.5867;256084;75;19-apr-03;21:02:00;75.9;32.664;375.3193;-1.224;5.31;0.94;5.3;0.85
18TL03004_002;STN27;47.5467;-52.5867;256085;50;19-apr-03;21:02:00;50.47;32.641;377.6862;-1.159;5.53;0.87;4.96;1.11
18TL03004_002;STN27;47.5467;-52.5867;256086;40;19-apr-03;21:02:00;40.79;32.624;382.1522;-1.103;5.42;1.03;4.25;1.48
18TL03004_002;STN27;47.5467;-52.5867;256087;31;19-apr-03;21:02:00;30.96;32.622;382.8667;-1.09;4.77;0.9;4.29;1.55
18TL03004_002;STN27;47.5467;-52.5867;256088;19;19-apr-03;21:02:00;19.25;32.608;388.5385;-1.037;4.64;0.92;3.25;2.33
18TL03004_002;STN27;47.5467;-52.5867;256089;10;19-apr-03;21:02:00;10.24;32.563;395.9073;-0.657;3.92;0.82;2.51;2.54
18TL03004_002;STN27;47.5467;-52.5867;256090;6;19-apr-03;21:02:00;5.68;32.566;396.1753;-0.677;3.79;0.92;2.26;2.41
18TL03004_003;SEGB-09;44.725;-51.395;256126;61;20-apr-03;18:26:00;61.62;33.033;372.7737;0.351;4.02;1.26;5.91;2.29
18TL03004_003;SEGB-09;44.725;-51.395;256127;51;20-apr-03;18:26:00;51.53;33.029;372.4611;0.38;3.91;1.06;5.71;2.07
18TL03004_003;SEGB-09;44.725;-51.395;256128;40;20-apr-03;18:26:00;40.4;33.029;372.9523;0.387;4.24;1.04;5.92;1.99
18TL03004_003;SEGB-09;44.725;-51.395;256129;30;20-apr-03;18:26:00;30.62;33.029;376.8377;0.412;4.16;1.06;5.82;2.83
18TL03004_003;SEGB-09;44.725;-51.395;256130;20;20-apr-03;18:26:00;20.48;33.028;388.0026;0.444;3.91;0.92;4.52;2.44
18TL03004_003;SEGB-09;44.725;-51.395;256131;10;20-apr-03;18:26:00;10.49;32.908;380.3658;0.911;5.89;1.07;5.35;1.29
18TL03004_003;SEGB-09;44.725;-51.395;256132;5;20-apr-03;18:26:00;5.2;32.94;383.8939;0.859;4.88;0.9;4.89;1.81
18TL03004_005;S27-09;47.94;-50.72;256690;111;03-may-03;19:54:00;111.54;33.218;342.5838;-0.732;7.96;1.33;8.35;NaN
18TL03004_005;S27-09;47.94;-50.72;256691;99;03-may-03;19:54:00;100.05;33.123;349.9973;-0.991;7.17;1.08;7.28;1.07
18TL03004_005;S27-09;47.94;-50.72;256692;74;03-may-03;19:54:00;75.05;32.89;382.3755;-1.133;3.7;0.86;4.5;2.9
18TL03004_005;S27-09;47.94;-50.72;256693;50;03-may-03;19:54:00;50.23;32.764;382.6434;-0.824;5.29;0.93;5.04;1.06
18TL03004_005;S27-09;47.94;-50.72;256694;40;03-may-03;19:54:00;40.3;32.762;382.9561;-0.772;3.72;0.74;5.53;1.37
18TL03004_005;S27-09;47.94;-50.72;256695;30;03-may-03;19:54:00;29.81;32.747;386.5288;-0.322;3.59;0.58;3.85;1.44
18TL03004_005;S27-09;47.94;-50.72;256696;19;03-may-03;19:54:00;19.08;32.725;393.0491;0.151;2.97;0.5;2.18;2.08
18TL03004_005;S27-09;47.94;-50.72;256697;10;03-may-03;19:54:00;9.92;32.723;393.8083;0.291;3.03;0.53;2.49;2.07
18TL03004_005;S27-09;47.94;-50.72;256698;5;03-may-03;19:54:00;5.12;32.724;393.8976;0.279;3.08;0.47;2.08;2.08
18TL03004_006;S27-07;47.84;-51.19;256699;171;03-may-03;21:45:00;172.67;33.447;319.2715;0.235;11.91;0.74;9.07;NaN
18TL03004_006;S27-07;47.84;-51.19;256700;149;03-may-03;21:45:00;150.66;33.427;322.353;0.156;10.5;0.76;9.94;NaN
18TL03004_006;S27-07;47.84;-51.19;256701;100;03-may-03;21:45:00;100.53;33.097;350.0866;-0.969;6.21;0.74;7.21;0.76
18TL03004_006;S27-07;47.84;-51.19;256702;75;03-may-03;21:45:00;75.12;32.833;379.2047;-1.236;3.21;0.69;4.64;1.08
18TL03004_006;S27-07;47.84;-51.19;256703;49;03-may-03;21:45:00;49.86;32.765;379.9192;-1.283;4.03;0.68;5.45;0.93
18TL03004_006;S27-07;47.84;-51.19;256704;40;03-may-03;21:45:00;40.59;32.726;389.2084;-0.293;3.16;0.57;3.65;1.27
18TL03004_006;S27-07;47.84;-51.19;256705;29;03-may-03;21:45:00;29.36;32.71;389.789;-0.123;3.22;0.5;2.64;1.73
18TL03004_006;S27-07;47.84;-51.19;256706;20;03-may-03;21:45:00;19.79;32.696;393.853;0.308;3.41;0.47;2.05;2.67
18TL03004_006;S27-07;47.84;-51.19;256707;10;03-may-03;21:45:00;9.88;32.694;393.853;0.324;3.77;0.54;3.26;1.92
18TL03004_006;S27-07;47.84;-51.19;256708;5;03-may-03;21:45:00;4.81;32.692;393.853;0.351;3.48;0.48;1.94;2.55
18TL03004_007;S27-06;47.79;-51.42;256709;140;03-may-03;23:02:00;141.24;33.436;321.2812;0.21;NaN;NaN;NaN;NaN
18TL03004_008;S27-05;47.74;-51.65;256711;150;04-may-03;00:11:00;151.36;33.456;317.954;0.272;12.42;0.835;9.715;NaN
18TL03004_008;S27-05;47.74;-51.65;256712;99;04-may-03;00:11:00;99.38;32.916;357.2768;-1.353;5.64;0.64;6.42;0.28
18TL03004_008;S27-05;47.74;-51.65;256713;75;04-may-03;00:11:00;75.47;32.755;378.9814;-1.356;3.33;0.84;4.79;1.14
18TL03004_008;S27-05;47.74;-51.65;256714;49;04-may-03;00:11:00;49.77;32.744;382.8221;-1.3;3.05;0.81;4.36;1.25
18TL03004_008;S27-05;47.74;-51.65;256715;40;04-may-03;00:11:00;39.93;32.729;389.5657;-0.496;1.72;0.52;2.88;1.33
18TL03004_008;S27-05;47.74;-51.65;256716;29;04-may-03;00:11:00;29.7;32.72;394.2103;0.104;2.78;0.71;2.94;2.11
18TL03004_008;S27-05;47.74;-51.65;256717;20;04-may-03;00:11:00;19.78;32.703;395.3268;0.273;2.59;0.49;2.68;2.47
18TL03004_008;S27-05;47.74;-51.65;256718;10;04-may-03;00:11:00;9.63;32.685;394.4782;0.355;1.87;0.49;2.36;1.91
18TL03004_008;S27-05;47.74;-51.65;256719;5;04-may-03;00:11:00;4.88;32.67;393.4957;0.391;1.57;0.56;2.28;2.48
18TL03004_009;S27-04;47.68;-51.88;256720;177;04-may-03;01:57:00;178.12;33.462;316.056;0.312;NaN;NaN;NaN;NaN
18TL03004_010;S27-03;47.63;-52.12;256721;164;04-may-03;03:29:00;165.54;33.272;331.2402;-0.265;9.52;1.25;8.17;NaN
