CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL00007_002;STN27;47.5467;-52.5867;221472;171;14-jul-00;23:38:00;172.01;328.248;11.48;1.78;9.21;NaN;NaN
18TL00007_002;STN27;47.5467;-52.5867;221473;150;14-jul-00;23:38:00;151.11;341.6459;NaN;NaN;NaN;NaN;NaN
18TL00007_002;STN27;47.5467;-52.5867;221474;100;14-jul-00;23:38:00;100.52;355.937;3.28;1.45;5.35;0.02;0.01
18TL00007_002;STN27;47.5467;-52.5867;221475;74;14-jul-00;23:38:00;74.43;357.7234;2.31;1.4;4.59;0.02;0.03
18TL00007_002;STN27;47.5467;-52.5867;221476;49;14-jul-00;23:38:00;49.67;377.3736;0.59;1.07;2.03;0.3;0.23
18TL00007_002;STN27;47.5467;-52.5867;221477;39;14-jul-00;23:38:00;39.82;384.0726;0.46;0.9;1.48;0.87;0.82
18TL00007_002;STN27;47.5467;-52.5867;221478;30;14-jul-00;23:38:00;30.31;387.6453;0.38;0.71;0.48;0.81;0.75
18TL00007_002;STN27;47.5467;-52.5867;221479;19;14-jul-00;23:38:00;19.57;384.5191;0.27;0.56;0;0.33;0.28
18TL00007_002;STN27;47.5467;-52.5867;221480;8;14-jul-00;23:38:00;8.36;368.4417;0.25;0.52;0.17;0.31;0.27
18TL00007_002;STN27;47.5467;-52.5867;221481;4;14-jul-00;23:38:00;4.52;337.6266;0.29;0.57;0.08;0.24;0.23
18TL00007_003;FC-07;47;-51;221619;100;15-jul-00;19:15:00;100.73;297.8795;13.05;2.21;9.52;0.05;0.03
18TL00007_003;FC-07;47;-51;221620;75;15-jul-00;19:15:00;75.43;305.9182;10.38;2.03;7.78;0.06;0.06
18TL00007_003;FC-07;47;-51;221621;51;15-jul-00;19:15:00;51.84;383.626;0.8;0.96;0.36;1.41;1.07
18TL00007_003;FC-07;47;-51;221622;40;15-jul-00;19:15:00;40.28;379.6066;0.22;0.77;0;0.72;0.55
18TL00007_003;FC-07;47;-51;221623;29;15-jul-00;19:15:00;29.53;372.0145;0.16;0.76;0;0.38;0.31
18TL00007_003;FC-07;47;-51;221624;20;15-jul-00;19:15:00;20.56;362.636;0.44;1.04;0.04;0.14;0.34
18TL00007_003;FC-07;47;-51;221625;10;15-jul-00;19:15:00;10.51;315.2968;0.29;0.79;0.02;0.17;0.14
18TL00007_003;FC-07;47;-51;221626;4;15-jul-00;19:15:00;4.48;312.6172;0.15;0.66;0.01;0.19;0.15
18TL00007_047;FC-08;47;-50.6667;221627;169;16-jul-00;01:44:00;170.1;288.0544;NaN;NaN;NaN;NaN;NaN
18TL00007_058;FC-09;47;-50;221628;77;16-jul-00;04:31:00;77.27;297.4329;7.81;2.08;7.68;0.16;0.15
18TL00007_058;FC-09;47;-50;221629;49;16-jul-00;04:31:00;49.84;385.4124;0.55;1.06;0;2.62;3.1
18TL00007_058;FC-09;47;-50;221630;39;16-jul-00;04:31:00;39.66;388.0919;0.72;1.04;0;0.28;0.26
18TL00007_058;FC-09;47;-50;221631;29;16-jul-00;04:31:00;29.7;368.8883;0.3;1.03;0;0.21;0.19
18TL00007_058;FC-09;47;-50;221632;20;16-jul-00;04:31:00;19.76;353.704;0.37;0.99;0;0.19;0.16
18TL00007_058;FC-09;47;-50;221633;10;16-jul-00;04:31:00;9.66;323.3355;0.25;0.91;0;0.18;0.16
18TL00007_058;FC-09;47;-50;221634;4;16-jul-00;04:31:00;4.3;323.7821;0.46;0.86;0;0.16;0.14
