CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU03075_102;SEGB-18;42.395;-49.5183;257470;40;21-nov-03;13:26:00;33.22;274.3886;10.24;1.52;0.3;1.14;0.27
18HU03075_102;SEGB-18;42.395;-49.5183;257471;30;21-nov-03;13:26:00;33.19;276.9789;10.83;1.63;0.28;0.81;0.93
18HU03075_102;SEGB-18;42.395;-49.5183;257472;20;21-nov-03;13:26:00;33.17;278.9885;10.77;2.45;0.29;1.31;1
18HU03075_102;SEGB-18;42.395;-49.5183;257473;9;21-nov-03;13:26:00;33.15;281.3555;10.78;1.32;0.25;0.49;1.01
18HU03075_102;SEGB-18;42.395;-49.5183;257474;5;21-nov-03;13:26:00;33.15;281.4001;10.79;1.32;0.22;0.36;1.27
18HU03075_113;SEGB-01;46.5833;-52.9333;257388;49;19-nov-03;07:26:00;31.94;319.3161;3.64;3.4;0.59;1.82;0.23
18HU03075_113;SEGB-01;46.5833;-52.9333;257389;31;19-nov-03;07:26:00;31.79;317.9317;4.25;3.47;0.63;2.02;0.35
18HU03075_113;SEGB-01;46.5833;-52.9333;257390;20;19-nov-03;07:26:00;31.75;317.8424;4.31;3.82;0.59;2.65;0.42
18HU03075_113;SEGB-01;46.5833;-52.9333;257391;10;19-nov-03;07:26:00;31.7;318.3783;4.37;3.25;0.59;1.76;0.52
18HU03075_113;SEGB-01;46.5833;-52.9333;257392;5;19-nov-03;07:26:00;31.69;317.5298;4.47;3.75;0.62;2.84;0.59
18HU03075_225;SEGB-02;46.5;-52.85;257393;177;19-nov-03;08:32:00;33;317.4404;-1.24;NaN;NaN;NaN;NaN
18HU03075_264;SEGB-03;46.35;-52.7333;257394;168;19-nov-03;10:13:00;33.32;288.2777;-0.68;16.7;1.37;10.76;NaN
18HU03075_264;SEGB-03;46.35;-52.7333;257395;151;19-nov-03;10:13:00;33.32;288.3224;-0.68;16.8;1.44;12.2;NaN
18HU03075_264;SEGB-03;46.35;-52.7333;257396;100;19-nov-03;10:13:00;33.22;296.9417;-0.86;13.85;1.22;9.74;0.02
18HU03075_264;SEGB-03;46.35;-52.7333;257397;75;19-nov-03;10:13:00;33.04;295.6912;-0.47;12;1.46;10.65;0.17
18HU03075_264;SEGB-03;46.35;-52.7333;257398;50;19-nov-03;10:13:00;32.79;335.8402;0.21;3.79;0.82;3.67;0.13
18HU03075_264;SEGB-03;46.35;-52.7333;257399;39;19-nov-03;10:13:00;31.84;308.1066;5.56;2.49;0.48;1.71;0.35
18HU03075_264;SEGB-03;46.35;-52.7333;257400;30;19-nov-03;10:13:00;31.73;307.526;5.85;1.93;0.42;0.7;0.54
18HU03075_264;SEGB-03;46.35;-52.7333;257401;20;19-nov-03;10:13:00;31.68;307.5707;5.94;1.77;0.43;1.4;0.74
18HU03075_264;SEGB-03;46.35;-52.7333;257402;10;19-nov-03;10:13:00;31.65;308.8211;5.93;1.73;0.39;0.6;0.8
18HU03075_264;SEGB-03;46.35;-52.7333;257403;5;19-nov-03;10:13:00;31.65;308.6872;5.93;1.68;0.39;0.5;0.78
18HU03075_277;FC-12;47;-48.1167;257596;129;25-nov-03;07:54:00;33.35;301.8096;-0.79;13.19;1.24;10.94;NaN
18HU03075_277;FC-12;47;-48.1167;257597;101;25-nov-03;07:54:00;33.2;310.5182;-1.01;11.09;1.27;9.72;0.07
18HU03075_277;FC-12;47;-48.1167;257598;76;25-nov-03;07:54:00;33.11;317.3958;1.93;NaN;NaN;NaN;0.21
18HU03075_277;FC-12;47;-48.1167;257599;51;25-nov-03;07:54:00;33.01;322.9782;3;4.17;0.57;3.68;0.37
18HU03075_277;FC-12;47;-48.1167;257600;40;25-nov-03;07:54:00;32.97;326.5957;2.76;4.23;0.54;3.68;0.52
18HU03075_277;FC-12;47;-48.1167;257601;30;25-nov-03;07:54:00;32.93;328.7393;2.54;4.71;0.65;3.95;0.75
18HU03075_277;FC-12;47;-48.1167;257602;21;25-nov-03;07:54:00;32.78;332.446;2.52;4.52;0.56;3.63;1.09
18HU03075_277;FC-12;47;-48.1167;257603;11;25-nov-03;07:54:00;32.3;323.2015;4.24;2.99;0.49;1.81;0.73
18HU03075_277;FC-12;47;-48.1167;257604;6;25-nov-03;07:54:00;32.25;319.8521;4.62;3.13;0.47;2.18;0.54
18HU03075_278;FC-11;47;-48.6167;257605;100;25-nov-03;10:20:00;33.2;297.4329;-0.93;NaN;NaN;NaN;NaN
18HU03075_279;FC-10;47;-49.1167;257606;75;25-nov-03;12:13:00;33.17;298.862;-0.71;11.74;1.01;8.87;0.1
18HU03075_279;FC-10;47;-49.1167;257607;50;25-nov-03;12:13:00;32.83;273.6294;1.86;10.42;1.15;6.32;0.15
18HU03075_279;FC-10;47;-49.1167;257608;40;25-nov-03;12:13:00;32.51;310.3842;2.89;4.94;0.72;3.2;0.26
18HU03075_279;FC-10;47;-49.1167;257609;30;25-nov-03;12:13:00;32.36;313.1531;3.79;3.83;0.61;2.16;0.33
18HU03075_279;FC-10;47;-49.1167;257610;20;25-nov-03;12:13:00;32.12;314.091;5.15;3.07;0.55;1.94;0.54
18HU03075_279;FC-10;47;-49.1167;257611;10;25-nov-03;12:13:00;32.06;314.0016;5.48;2.81;0.5;1.14;0.86
18HU03075_279;FC-10;47;-49.1167;257612;5;25-nov-03;12:13:00;32.06;313.8676;5.49;2.33;0.41;0.97;0.88
18HU03075_280;FC-09;47;-50;257613;75;25-nov-03;16:22:00;32.9;257.6412;1.41;12.05;1.24;6.93;0.12
18HU03075_280;FC-09;47;-50;257614;50;25-nov-03;16:22:00;32.51;279.9264;3.47;6.34;0.81;3.27;0.16
18HU03075_280;FC-09;47;-50;257615;40;25-nov-03;16:22:00;32.2;302.3008;4.75;3.63;0.63;1.61;0.3
18HU03075_280;FC-09;47;-50;257616;30;25-nov-03;16:22:00;32.02;311.0095;5.79;2.33;0.44;0.88;0.7
18HU03075_280;FC-09;47;-50;257617;20;25-nov-03;16:22:00;31.96;306.8114;6.6;2.55;0.46;1.26;1.05
18HU03075_280;FC-09;47;-50;257618;11;25-nov-03;16:22:00;31.96;307.1241;6.61;2.5;0.45;1.17;1.01
18HU03075_280;FC-09;47;-50;257619;6;25-nov-03;16:22:00;31.96;307.2134;6.61;2.03;0.41;0.68;1.05
18HU03075_281;STN27;47.5467;-52.5867;257620;175;26-nov-03;14:54:00;33.16;300.6484;-0.96;14.09;0.91;9.29;NaN
18HU03075_281;STN27;47.5467;-52.5867;257621;151;26-nov-03;14:54:00;32.87;319.4055;-1.1;9.01;0.71;6.6;0.03
18HU03075_281;STN27;47.5467;-52.5867;257622;99;26-nov-03;14:54:00;32.5;330.5703;1.5;5.41;0.81;3.19;0.2
