CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL04021_685;1071;47.93083;-65.24717;275940;69.8;21-jun-04;23:57:00;31.5;-0.65;273.67648;283.8143;NaN;NaN;NaN;NaN;22.165;0.19;10.82;1.45;NaN;0.636
18TL04021_685;1071;47.93083;-65.24717;275941;49.67;21-jun-04;23:57:00;30.75;-0.09;298.3288;NaN;NaN;NaN;NaN;NaN;14.685;0.32;8.53;1.29;0.405;0.582
18TL04021_685;1071;47.93083;-65.24717;275942;24.89;21-jun-04;23:57:00;29.37;3.3;326.41994;NaN;NaN;NaN;NaN;NaN;5.345;0.22;3.335;0.72;0.57;1.169
18TL04021_685;1071;47.93083;-65.24717;275943;15.27;21-jun-04;23:57:00;28.54;5.75;334.99466;NaN;NaN;NaN;NaN;NaN;2.295;0.11;1.46;0.335;0.69;1.277
18TL04021_685;1071;47.93083;-65.24717;275944;4.96;21-jun-04;23:57:00;27.81;9.47;321.73064;NaN;NaN;NaN;NaN;NaN;1.665;0.055;0.25;0.13;1.255;3.228
18TL04021_685;1071;47.93083;-65.24717;275945;0.79;21-jun-04;23:57:00;27.81;9.47;321.68598;322.6685;NaN;NaN;NaN;NaN;1.625;0.05;0.245;0.13;1.23;3.25
18TL04021_686;361;47.58383;-59.3435;275701;250.44;15-jun-04;01:50:00;34.58;5.89;160.82066;255.9018;12.05;0.09;1.09;11.34;NaN;NaN;NaN;NaN;NaN;0.278
18TL04021_686;361;47.58383;-59.3435;275702;198.63;15-jun-04;01:50:00;33.89;4.27;202.84572;NaN;16.475;0.1;1.33;15.47;NaN;NaN;NaN;NaN;NaN;0.28
18TL04021_686;361;47.58383;-59.3435;275703;98.65;15-jun-04;01:50:00;32.6;0.97;300.24918;NaN;4.915;0.135;0.95;6.18;NaN;NaN;NaN;NaN;0.075;0.356
18TL04021_686;361;47.58383;-59.3435;275704;52.95;15-jun-04;01:50:00;32.32;1.22;313.9598;NaN;1.615;0.09;0.765;2.93;NaN;NaN;NaN;NaN;0.085;0.53
18TL04021_686;361;47.58383;-59.3435;275705;24.19;15-jun-04;01:50:00;32.15;2.38;324.81218;NaN;1.21;0.07;0.62;1.585;NaN;NaN;NaN;NaN;0.095;1.107
18TL04021_686;361;47.58383;-59.3435;275706;14.18;15-jun-04;01:50:00;31.79;5.17;317.13066;NaN;0.835;0.04;0.42;0.55;NaN;NaN;NaN;NaN;0.18;1.685
18TL04021_686;361;47.58383;-59.3435;275707;4.86;15-jun-04;01:50:00;31.79;5.27;310.56564;NaN;0.795;0.035;0.42;0.55;NaN;NaN;NaN;NaN;0.205;1.764
18TL04021_686;361;47.58383;-59.3435;275708;1.59;15-jun-04;01:50:00;31.79;5.27;308.3773;317.086;0.9;0.04;0.41;0.42;NaN;NaN;NaN;NaN;0.19;1.764
18TL04021_687;371;47.437;-59.557;275709;464.66;15-jun-04;03:56:00;34.85;5.04;185.5623;186.4555;26.135;0.02667;1.48;19.19;NaN;NaN;NaN;NaN;NaN;0.278
18TL04021_687;371;47.437;-59.557;275710;400.83;15-jun-04;03:56:00;34.84;5.24;174.30798;NaN;27.335;0.025;1.555;21.24;NaN;NaN;NaN;NaN;NaN;0.264
18TL04021_687;371;47.437;-59.557;275711;300.05;15-jun-04;03:56:00;34.76;5.96;145.54694;NaN;23.32;0.015;1.635;22.685;NaN;NaN;NaN;NaN;NaN;0.28
18TL04021_687;371;47.437;-59.557;275712;199.92;15-jun-04;03:56:00;34.31;5.72;159.92746;NaN;20.175;0.035;1.45;18.155;NaN;NaN;NaN;NaN;NaN;0.295
18TL04021_687;371;47.437;-59.557;275713;100.03;15-jun-04;03:56:00;32.71;0.99;294.04144;NaN;6.445;0.145;1;7.37;NaN;NaN;NaN;NaN;0.04;0.321
18TL04021_687;371;47.437;-59.557;275714;49.87;15-jun-04;03:56:00;32.43;0.94;309.89574;NaN;2.455;0.11;0.865;4.455;NaN;NaN;NaN;NaN;0.17;0.66
18TL04021_687;371;47.437;-59.557;275715;24.99;15-jun-04;03:56:00;32.17;2.48;326.59858;NaN;0.92;0.035;0.45;0.485;NaN;NaN;NaN;NaN;0.08;1.124
18TL04021_687;371;47.437;-59.557;275716;15.27;15-jun-04;03:56:00;31.87;4.43;329.18886;NaN;0.745;0.035;0.36;0.135;NaN;NaN;NaN;NaN;0.2;2.192
18TL04021_687;371;47.437;-59.557;275717;4.86;15-jun-04;03:56:00;31.75;5.98;311.41418;NaN;0.8;0.03;0.36;0.155;NaN;NaN;NaN;NaN;0.18;1.744
18TL04021_687;371;47.437;-59.557;275718;1.69;15-jun-04;03:56:00;31.75;5.98;308.33264;332.0471;0.865;0.03;0.345;0.16;NaN;NaN;NaN;NaN;0.18;1.828
18TL04021_688;381;47.27067;-59.77983;275719;455.86;15-jun-04;06:29:00;34.85;5.08;182.70406;192.4846;28.11;0.05;1.505;19.285;NaN;NaN;NaN;NaN;NaN;0.27
18TL04021_688;381;47.27067;-59.77983;275720;399.55;15-jun-04;06:29:00;34.84;5.22;169.08276;NaN;28.36;0.025;1.655;19.26;NaN;NaN;NaN;NaN;NaN;0.267
18TL04021_688;381;47.27067;-59.77983;275721;299.96;15-jun-04;06:29:00;34.78;5.9;154.34496;NaN;20.465;0.05;1.77;21.15;NaN;NaN;NaN;NaN;NaN;0.272
18TL04021_688;381;47.27067;-59.77983;275722;200.02;15-jun-04;06:29:00;34.32;5.47;143.62656;NaN;24.99;0.03;1.62;19.845;NaN;NaN;NaN;NaN;NaN;0.305
18TL04021_688;381;47.27067;-59.77983;275723;99.84;15-jun-04;06:29:00;32.62;0.3;289.79874;NaN;9.115;0.105;1.02;8.29;NaN;NaN;NaN;NaN;0.03;0.3
18TL04021_688;381;47.27067;-59.77983;275724;49.58;15-jun-04;06:29:00;32.1;0.93;323.51704;NaN;3.66;0.115;0.77;3.47;NaN;NaN;NaN;NaN;0.13;1.119
18TL04021_688;381;47.27067;-59.77983;275725;24.89;15-jun-04;06:29:00;31.83;3.86;325.3481;NaN;1.455;0.06;0.435;0.375;NaN;NaN;NaN;NaN;0.255;2.238
18TL04021_688;381;47.27067;-59.77983;275726;14.68;15-jun-04;06:29:00;31.75;4.93;321.3287;NaN;0.995;0.04;0.44;0.315;NaN;NaN;NaN;NaN;0.2;2.16
18TL04021_688;381;47.27067;-59.77983;275727;4.86;15-jun-04;06:29:00;31.66;5.5;313.02194;NaN;0.93;0.045;0.475;0.375;NaN;NaN;NaN;NaN;0.24;1.719
18TL04021_688;381;47.27067;-59.77983;275728;1.59;15-jun-04;06:29:00;31.66;5.51;309.58312;335.6199;1.04;0.04;0.51;0.4;NaN;NaN;NaN;NaN;0.425;1.701
18TL04021_689;391;47.1015;-59.99083;275729;324.42;15-jun-04;09:24:00;34.8;5.51;147.46732;156.0867;28.875;0.03;1.67;22.475;NaN;NaN;NaN;NaN;NaN;0.291
18TL04021_689;391;47.1015;-59.99083;275730;300.36;15-jun-04;09:24:00;34.72;5.71;141.66152;NaN;25.785;0.06;1.66;22.42;NaN;NaN;NaN;NaN;NaN;0.292
18TL04021_689;391;47.1015;-59.99083;275731;200.03;15-jun-04;09:24:00;34.13;4.85;161.31192;NaN;19.86;0.045;1.475;17.13;NaN;NaN;NaN;NaN;NaN;0.305
18TL04021_689;391;47.1015;-59.99083;275732;100.73;15-jun-04;09:24:00;32.63;0.63;295.91716;NaN;5.44;0.14;0.925;6.41;NaN;NaN;NaN;NaN;0.135;0.383
18TL04021_689;391;47.1015;-59.99083;275733;49.58;15-jun-04;09:24:00;32.22;0.81;324.81218;NaN;2.02;0.085;0.705;2.65;NaN;NaN;NaN;NaN;0.345;1.02
18TL04021_689;391;47.1015;-59.99083;275734;24.99;15-jun-04;09:24:00;31.82;3.35;331.10924;NaN;0.58;0.04;0.48;0.415;NaN;NaN;NaN;NaN;0.37;1.723
18TL04021_689;391;47.1015;-59.99083;275735;14.68;15-jun-04;09:24:00;31.65;4.88;317.13066;NaN;5.735;0.085;0.9;6.955;NaN;NaN;NaN;NaN;0.365;1.571
18TL04021_689;391;47.1015;-59.99083;275736;5.06;15-jun-04;09:24:00;31.66;5.31;311.41418;NaN;0.87;0.03;0.475;0.41;NaN;NaN;NaN;NaN;0.445;1.548
18TL04021_689;391;47.1015;-59.99083;275737;1.49;15-jun-04;09:24:00;31.66;5.26;307.75206;334.0568;0.99;0.05;0.465;0.455;NaN;NaN;NaN;NaN;0.445;1.568
18TL04021_690;401;47.02283;-60.115;275738;175.16;15-jun-04;11:26:00;33.93;4.26;171.62838;183.3293;20.905;0.105;1.445;15.985;NaN;NaN;NaN;NaN;NaN;0.326
18TL04021_690;401;47.02283;-60.115;275739;100.63;15-jun-04;11:26:00;32.38;0.78;295.11328;NaN;3.03;0.13;0.855;4.46;NaN;NaN;NaN;NaN;0.465;0.938
18TL04021_690;401;47.02283;-60.115;275740;51.17;15-jun-04;11:26:00;31.74;3.4;321.59666;NaN;1.565;0.055;0.565;0.925;NaN;NaN;NaN;NaN;0.34;1.489
18TL04021_690;401;47.02283;-60.115;275741;25.29;15-jun-04;11:26:00;31.62;5.2;318.82774;NaN;0.875;0.05;0.42;0.295;NaN;NaN;NaN;NaN;0.635;2.643
18TL04021_690;401;47.02283;-60.115;275742;14.38;15-jun-04;11:26:00;31.31;5.34;315.79086;NaN;1.115;0.03;0.41;0.175;NaN;NaN;NaN;NaN;0.68;3.068
18TL04021_690;401;47.02283;-60.115;275743;4.66;15-jun-04;11:26:00;30.25;6.03;302.7948;NaN;1.59;0.05;0.345;0.555;NaN;NaN;NaN;NaN;0.715;1.951
