CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;Q_OXYM;SSAL_XX;CHL_XX;Q_CHL;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
180166005_284;CAST#1;44.58333;-64.03333;-19;1;23-jun-66;00:00:00;6.71742051052396;1;29.952;0.6;1;0;1;0.07;1;0.2;1;4.5;2;2048;0.35;0.02
180166005_284;CAST#1;44.58333;-64.03333;-20;5;23-jun-66;00:00:00;7.72503358710255;1;31.357;0.9;1;0.02;1;0.14;1;0.38;1;2.7;2;2048;0.37;0.05
180166005_284;CAST#1;44.58333;-64.03333;-21;10;23-jun-66;00:00:00;7.83699059561129;1;31.437;0.6;1;0.04;1;0.18;1;0.44;1;3.1;2;2048;0.41;0.06
180166005_284;CAST#1;44.58333;-64.03333;-22;15;23-jun-66;00:00:00;7.83699059561129;1;31.529;1.05;1;0.05;1;0.54;1;0.62;1;4.4;1;0;0.87;0.12
180166005_284;CAST#1;44.58333;-64.03333;-23;25;23-jun-66;00:00:00;7.38916256157635;1;31.61;0.9;1;0.1;1;1.9;1;0.77;1;7.4;2;2048;2.47;0.26
180166005_284;CAST#1;44.58333;-64.03333;-24;45;23-jun-66;00:00:00;7.38916256157635;1;31.758;0.3;1;0.13;1;1.97;1;0.66;1;6.7;1;0;2.98;0.29
180166005_326;CAST#1;44.58333;-64.03333;-25;1;27-jun-66;00:00:00;6.60546350201523;1;30.198;0.75;1;0.01;1;0.13;1;0.29;1;4.2;2;2048;0.45;0.03
180166005_326;CAST#1;44.58333;-64.03333;-26;5;27-jun-66;00:00:00;7.61307657859382;1;31.027;0.75;1;0.02;1;0.08;1;0.37;1;3.5;2;2048;0.22;0.02
180166005_326;CAST#1;44.58333;-64.03333;-27;10;27-jun-66;00:00:00;7.61307657859382;1;31.462;1.05;1;0.03;1;0.28;1;0.52;1;4.2;2;2048;0.54;0.07
180166005_326;CAST#1;44.58333;-64.03333;-28;15;27-jun-66;00:00:00;7.61307657859382;1;31.562;0.75;1;0.06;1;0.93;1;0.59;1;5.2;1;0;1.58;0.18
180166005_326;CAST#1;44.58333;-64.03333;-29;25;27-jun-66;00:00:00;7.50111957008509;1;31.649;1.05;1;0.1;1;1.84;1;0.72;1;6.5;2;2048;2.56;0.28
180166005_326;CAST#1;44.58333;-64.03333;-30;45;27-jun-66;00:00:00;7.61307657859382;1;31.847;0.45;1;0.12;1;2.24;1;0.72;1;6.5;1;0;3.11;0.34
180166005_003;CAST#1;44.58333;-64.03333;-31;1;30-jun-66;00:00:00;7.16524854455889;1;30.708;0.83;1;0.01;1;0.08;1;0.32;1;3.8;2;2048;0.25;0.02
180166005_003;CAST#1;44.58333;-64.03333;-32;5;30-jun-66;00:00:00;7.83699059561129;1;31.281;1.28;1;0.01;1;0;1;0.4;1;3;2;2048;0.00;0.00
180166005_003;CAST#1;44.58333;-64.03333;-33;10;30-jun-66;00:00:00;7.94894760412002;1;31.442;2.17;1;0.03;1;0.02;1;0.4;1;3.3;2;2048;0.05;0.01
180166005_003;CAST#1;44.58333;-64.03333;-34;15;30-jun-66;00:00:00;7.94894760412002;1;31.52;2.85;1;0.05;1;0.38;1;0.52;1;3.9;1;0;0.73;0.10
180166005_003;CAST#1;44.58333;-64.03333;-35;25;30-jun-66;00:00:00;7.72503358710255;1;31.639;1.12;1;0.09;1;1.63;1;0.61;1;4.5;1;0;2.67;0.36
180166005_003;CAST#1;44.58333;-64.03333;-36;45;30-jun-66;00:00:00;7.50111957008509;1;31.827;0.45;1;0.14;1;2.34;1;0.76;1;7.2;1;0;3.08;0.32
180166005_014;CAST#1;44.58333;-64.03333;-1;1;04-jul-66;00:00:00;6.60546350201523;1;30.321;0.6;1;0.01;1;0;1;0.28;1;2.8;1;0;0.00;0.00
180166005_014;CAST#1;44.58333;-64.03333;-2;5;04-jul-66;00:00:00;7.50111957008509;1;31.087;0.68;1;0.01;1;0;1;0.34;1;2.2;1;0;0.00;0.00
180166005_014;CAST#1;44.58333;-64.03333;-3;10;04-jul-66;00:00:00;8.28481862964622;1;31.447;0.98;1;0.02;1;0;1;0.38;1;2.6;1;0;0.00;0.00
180166005_014;CAST#1;44.58333;-64.03333;-4;15;04-jul-66;00:00:00;8.28481862964622;1;31.494;1.8;1;0;1;0;1;0.42;1;2.5;1;0;0.00;0.00
180166005_014;CAST#1;44.58333;-64.03333;-5;25;04-jul-66;00:00:00;7.38916256157635;1;31.66;2.78;1;0.12;1;1.94;1;0.77;1;7.4;2;2048;2.52;0.26
180166005_014;CAST#1;44.58333;-64.03333;-6;45;04-jul-66;00:00:00;7.38916256157635;1;31.659;1.8;1;0.15;1;2.51;1;0.85;1;9.9;1;0;2.95;0.25
180166005_036;CAST#1;44.58333;-64.03333;-7;1;07-jul-66;00:00:00;6.38154948499776;1;30.51;0.75;1;0.01;1;0;1;0.28;1;2.2;1;0;0.00;0.00
180166005_036;CAST#1;44.58333;-64.03333;-8;5;07-jul-66;00:00:00;7.83699059561129;1;31.01;0.9;1;0;1;0;1;0.36;1;2.8;1;0;0.00;0.00
180166005_036;CAST#1;44.58333;-64.03333;-9;10;07-jul-66;00:00:00;8.17286162113748;1;31.51;0.98;1;0;1;0;1;0.4;1;3.1;1;0;0.00;0.00
180166005_036;CAST#1;44.58333;-64.03333;-10;15;07-jul-66;00:00:00;8.28481862964622;1;NaN;1.36;1;0.01;1;0;1;0.47;1;2.5;1;0;0.00;0.00
180166005_036;CAST#1;44.58333;-64.03333;-11;25;07-jul-66;00:00:00;7.94894760412002;1;31.67;3.09;1;0.02;1;0;1;0.56;1;4.6;1;0;0.00;0.00
180166005_036;CAST#1;44.58333;-64.03333;-12;45;07-jul-66;00:00:00;7.27720555306762;1;31.92;0.75;1;0.15;1;2.45;1;0.82;1;9;1;0;2.99;0.27
180166005_058;CAST#1;44.58333;-64.03333;-13;1;11-jul-66;00:00:00;6.04567845947156;1;30.75;0.68;1;0.01;1;0;1;0.23;1;1.4;1;0;0.00;0.00
180166005_058;CAST#1;44.58333;-64.03333;-14;5;11-jul-66;00:00:00;6.1576354679803;1;30.77;0.82;1;0;1;0;1;0.25;1;1.6;1;0;0.00;0.00
180166005_058;CAST#1;44.58333;-64.03333;-15;10;11-jul-66;00:00:00;7.50111957008509;1;31.37;1.12;1;0.01;1;0;1;0.31;1;1.7;1;0;0.00;0.00
180166005_058;CAST#1;44.58333;-64.03333;-16;15;11-jul-66;00:00:00;7.61307657859382;1;31.46;1.42;1;0;1;0;1;0.34;1;2.4;1;0;0.00;0.00
180166005_058;CAST#1;44.58333;-64.03333;-17;25;11-jul-66;00:00:00;7.72503358710255;1;31.63;2.05;1;0.01;1;0;1;0.37;1;1.9;1;0;0.00;0.00
180166005_058;CAST#1;44.58333;-64.03333;-18;45;11-jul-66;00:00:00;6.49350649350649;1;31.91;1.35;1;0.18;1;2.41;1;0.95;1;11.3;1;0;2.54;0.21
180166005_091;CAST#1;44.58333;-64.03333;-37;1;14-jul-66;00:00:00;5.59785042543663;1;30.13;0.6;1;0.02;1;0;1;0.16;1;1.2;1;0;0.00;0.00
180166005_091;CAST#1;44.58333;-64.03333;-38;5;14-jul-66;00:00:00;5.8217644424541;1;30.98;1.05;1;0.01;1;0;1;0.2;1;1.4;1;0;0.00;0.00
180166005_091;CAST#1;44.58333;-64.03333;-39;10;14-jul-66;00:00:00;6.26959247648903;1;31.01;1.42;1;0;1;0;1;0.18;1;2.5;1;0;0.00;0.00
180166005_091;CAST#1;44.58333;-64.03333;-40;15;14-jul-66;00:00:00;7.27720555306762;1;NaN;2.4;1;0;1;0;1;0.26;1;1.9;1;0;0.00;0.00
180166005_091;CAST#1;44.58333;-64.03333;-41;25;14-jul-66;00:00:00;7.50111957008509;1;31.61;1.81;1;0;1;0;1;0.36;1;2;1;0;0.00;0.00
180166005_091;CAST#1;44.58333;-64.03333;-42;45;14-jul-66;00:00:00;6.49350649350649;1;31.89;1.2;1;0.18;1;2.32;1;0.78;1;6.9;1;0;2.97;0.34
180166005_102;CAST#1;44.58333;-64.03333;-43;1;18-jul-66;00:00:00;6.26959247648903;1;30.63;1.03;1;0;1;0;1;0.15;1;1.3;1;0;0.00;0.00
180166005_102;CAST#1;44.58333;-64.03333;-44;5;18-jul-66;00:00:00;6.82937751903269;1;30.91;1.03;1;0;1;0;1;0.17;1;1.1;1;0;0.00;0.00
