CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU12044_1252;11;46.5835;-59.75333;347805;4.46;20-oct-12;15:47:00;29.13;12.02;271.66678;NaN;1.365;0.255;0.07;1;0.885;1;0.315;1;1.76;1;0;2.81;0.50
18HU12044_1252;11;46.5835;-59.75333;347804;13.69;20-oct-12;15:47:00;29.13;12;272.73862;NaN;1.405;0.254;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU12044_1252;11;46.5835;-59.75333;347803;58.8;20-oct-12;15:47:00;31.18;6.88;279.61626;NaN;NaN;0.082;0.135;1;3.81;1;0.655;1;4.85;1;0;5.82;0.79
18HU12044_1274;51;47.665;-59.83733;347808;4.56;21-oct-12;18:43:00;30.75;11.38;282.4745;6.3575;0.985;0.231;0.015;1;0.04;1;0.21;1;0.765;1;256;0.19;0.05
18HU12044_1274;51;47.665;-59.83733;347807;17.75;21-oct-12;18:43:00;30.82;9.88;298.28414;6.5265;1.255;0.257;NaN;9;NaN;9;NaN;9;NaN;9;256;NaN;NaN
18HU12044_1274;51;47.665;-59.83733;347806;490.08;21-oct-12;18:43:00;34.91;5.29;187.17006;4.2295;NaN;0.019;0.025;1;20.22;1;1.47;1;26.77333;1;256;13.76;0.76
18HU12044_1275;581;47.83583;-62.25333;347870;25.19;28-oct-12;01:29:00;30.43;8.13;301.32102;6.819;1.735;0.358;0.04;1;0.72;1;0.345;1;1.79;1;256;2.09;0.40
18HU12044_1275;581;47.83583;-62.25333;347869;54.83;28-oct-12;01:29:00;32.13;0.92;245.1834;5.3975;0.09;0.039;0.025;1;12.81;1;1.31;1;21.905;1;256;9.78;0.58
18HU12044_1249;1071;47.93367;-65.249;348345;1.19;04-nov-12;06:51:00;29.21;8.04;300.1152;6.789;1.575;0.236;0.11;1;2.75;1;0.54;1;6.28;1;256;5.09;0.44
18HU12044_1249;1071;47.93367;-65.249;348344;5.26;04-nov-12;06:51:00;29.23;8;300.29384;6.777;1.485;0.236;0.11;1;2.875;1;0.54;1;6.285;1;256;5.32;0.46
18HU12044_1249;1071;47.93367;-65.249;348343;15.37;04-nov-12;06:51:00;30.18;6.41;280.15218;6.256;0.545;0.087;0.17;1;5.72;1;0.785;1;8.295;1;256;7.29;0.69
18HU12044_1249;1071;47.93367;-65.249;348342;24.89;04-nov-12;06:51:00;30.67;5.72;278.76772;5.755;0.25;0.048;0.17;1;8.35;1;0.99;1;12.515;1;256;8.43;0.67
18HU12044_1249;1071;47.93367;-65.249;348341;50.07;04-nov-12;06:51:00;31.25;3.48;221.11166;4.926;0.33;0.067;0.03;1;12.49;1;1.325;1;23.21;1;256;9.43;0.54
18HU12044_1249;1071;47.93367;-65.249;348340;62.36;04-nov-12;06:51:00;31.79;2.53;232.36598;5.1475;0.21;0.047;0.04;1;12.86;1;1.335;1;21.075;1;256;9.63;0.61
18HU12044_1250;1081;47.83333;-64.25;348350;1.69;04-nov-12;11:43:00;29.26;9.35;296.63172;6.684;2.64;0.315;0.04;1;0.79;1;0.37;1;2.005;1;256;2.14;0.39
18HU12044_1250;1081;47.83333;-64.25;348349;4.76;04-nov-12;11:43:00;29.26;9.35;297.03366;6.685;2.595;0.334;0.05;1;0.79;1;0.375;1;1.85;1;256;2.11;0.43
18HU12044_1250;1081;47.83333;-64.25;348348;15.27;04-nov-12;11:43:00;29.27;9.33;295.4259;6.685;2.525;0.293;0.05;1;0.875;1;0.4;1;1.79;1;256;2.19;0.49
18HU12044_1250;1081;47.83333;-64.25;348347;24.49;04-nov-12;11:43:00;29.34;8.98;281.62596;5.941;2.335;0.266;0.14;1;4.285;1;0.765;1;6.645;1;256;5.60;0.64
18HU12044_1250;1081;47.83333;-64.25;348346;34.8;04-nov-12;11:43:00;30.94;5.03;255.85714;5.8475;1.395;0.099;0.16;1;7.045;1;0.945;1;9.405;1;256;7.46;0.75
18HU12044_1251;1091;47.78333;-64.034;348356;1.98;04-nov-12;13:16:00;29.35;9.17;296.5424;6.698;1.765;0.27;0.06;1;1.33;1;0.41;1;2.56;1;256;3.24;0.52
18HU12044_1251;1091;47.78333;-64.034;348355;5.26;04-nov-12;13:16:00;29.35;9.17;296.05114;6.696;1.805;0.239;0.06;1;1.33;1;0.415;1;2.53;1;256;3.20;0.53
18HU12044_1251;1091;47.78333;-64.034;348354;15.27;04-nov-12;13:16:00;29.53;8.61;300.15986;6.715;1.205;0.17;0.09;1;2.235;1;0.51;1;3.625;1;256;4.38;0.62
18HU12044_1251;1091;47.78333;-64.034;348353;25.19;04-nov-12;13:16:00;29.87;8.08;303.59868;NaN;0.82;0.131;0.08;1;2.225;1;0.515;1;3.055;1;0;4.32;0.73
18HU12044_1251;1091;47.78333;-64.034;348352;50.17;04-nov-12;13:16:00;31.28;4.1;288.63758;6.359;0.13;0.041;0.095;1;7.87;1;0.92;1;7.905;1;256;8.55;1.00
18HU12044_1251;1091;47.78333;-64.034;348351;70.2;04-nov-12;13:16:00;32.05;1.6;227.58736;5.0565;0.15;0.04;0.01;1;13.81;1;1.415;1;23.38;1;256;9.76;0.59
18HU12044_1253;1101;47.66683;-63.75017;348361;1.39;04-nov-12;15:01:00;29.73;8.65;307.4841;6.878;3.19;0.452;0.05;1;1.46;1;0.425;1;2.4;1;256;3.44;0.61
18HU12044_1253;1101;47.66683;-63.75017;348360;5.06;04-nov-12;15:01:00;29.73;8.66;306.90352;6.916;3.135;0.443;0.055;1;1.48;1;0.435;1;2.595;1;256;3.40;0.57
18HU12044_1253;1101;47.66683;-63.75017;348359;15.57;04-nov-12;15:01:00;29.75;8.6;306.68022;6.936;3.165;0.439;0.05;1;1.425;1;0.43;1;2.375;1;256;3.31;0.60
18HU12044_1253;1101;47.66683;-63.75017;348358;25.09;04-nov-12;15:01:00;29.79;8.46;304.1346;6.857;1.705;0.242;0.05;1;1.695;1;0.47;1;2.47;1;256;3.61;0.69
18HU12044_1253;1101;47.66683;-63.75017;348357;52.85;04-nov-12;15:01:00;31.8;1.74;275.01628;6.107;0.1;0.036;0.02;1;10.355;1;1.115;1;11.43;1;256;9.29;0.91
