CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;Q_PSAL;OXYM_01;Q_OXYM;TEMP_XX;Q_TEMP_RT;CHL_XX;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);((none));(mmol/m**3);((none));(celsius);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU02070_002;STN27;47.5467;-52.5867;255589;5;10-nov-02;02:01:00;5.13;31.637;1;6.9159381997313;1;3.987;1;0.35;1;0.84;1;0.79;1;2.64;1;0;1.06;0.32
18HU02070_002;STN27;47.5467;-52.5867;255588;10;10-nov-02;02:01:00;10.06;31.677;1;6.9209381997313;1;3.884;1;0.32;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_002;STN27;47.5467;-52.5867;255587;20;10-nov-02;02:01:00;19.81;31.803;1;6.9569368562472;1;3.549;1;NaN;9;1.28;1;0.42;1;2.46;1;0;3.05;0.52
18HU02070_002;STN27;47.5467;-52.5867;255586;30;10-nov-02;02:01:00;30.53;31.822;1;6.9709381997313;1;3.501;1;0.3;1;1.01;1;0.54;1;2.07;1;0;1.87;0.49
18HU02070_002;STN27;47.5467;-52.5867;255585;40;10-nov-02;02:01:00;40.22;31.889;1;6.98793775190327;1;3.331;1;0.28;1;1.43;1;0.76;1;2.84;1;0;1.88;0.50
18HU02070_002;STN27;47.5467;-52.5867;255584;50;10-nov-02;02:01:00;50.28;31.962;1;6.9969368562472;1;3.14;1;0.27;1;1.28;1;0.51;1;2.59;1;0;2.51;0.49
18HU02070_002;STN27;47.5467;-52.5867;255583;74;10-nov-02;02:01:00;74.51;32.123;1;7.0279355127631;1;2.715;1;0.23;1;1.53;1;0.62;1;2.15;1;0;2.47;0.71
18HU02070_002;STN27;47.5467;-52.5867;255582;98;10-nov-02;02:01:00;99.27;32.395;1;7.0569368562472;1;1.532;1;0.07;1;2.42;1;0.79;1;3.3;1;0;3.06;0.73
18HU02070_002;STN27;47.5467;-52.5867;255581;149;10-nov-02;02:01:00;150.05;33.226;1;6.62094043887147;1;-0.986;1;NaN;9;10.97;1;1.76;1;13.29;1;0;6.23;0.83
18HU02070_002;STN27;47.5467;-52.5867;255580;167;10-nov-02;02:01:00;168.63;33.239;1;6.63894088669951;1;-0.993;1;NaN;9;10.61;1;1.61;1;13.62;1;0;6.59;0.78
18HU02070_113;SEGB-01;46.5833;-52.9333;255594;6;10-nov-02;17:40:00;5.76;31.536;1;6.87693909538737;1;4.669;1;0.37;1;0.62;1;0.48;1;2;1;0;1.29;0.31
18HU02070_113;SEGB-01;46.5833;-52.9333;255593;11;10-nov-02;17:40:00;10.73;31.535;1;6.8759381997313;1;4.673;1;0.38;1;1.15;1;0.49;1;2.06;1;0;2.35;0.56
18HU02070_113;SEGB-01;46.5833;-52.9333;255592;20;10-nov-02;17:40:00;20.6;31.537;1;6.87493954321541;1;4.657;1;0.37;1;0.34;1;0.55;1;2;1;0;0.62;0.17
18HU02070_113;SEGB-01;46.5833;-52.9333;255591;30;10-nov-02;17:40:00;30.62;31.666;1;6.87893864755934;1;4.275;1;0.34;1;1.46;1;0.82;1;2.35;1;0;1.78;0.62
18HU02070_113;SEGB-01;46.5833;-52.9333;255590;47;10-nov-02;17:40:00;47.14;31.891;1;6.93793775190327;1;3.448;1;0.26;1;1.15;1;0.63;1;3.06;1;0;1.83;0.38
18HU02070_225;SEGB-02;46.5;-52.85;255595;173;10-nov-02;18:46:00;174;33.042;1;7.0819368562472;1;-1.25;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_264;SEGB-03;46.35;-52.7333;255605;5;10-nov-02;20:05:00;5.45;31.896;1;6.98493730407524;1;3.503;1;0.33;1;1.18;1;0.68;1;3.3;1;0;1.74;0.36
18HU02070_264;SEGB-03;46.35;-52.7333;255604;11;10-nov-02;20:05:00;10.59;31.886;1;6.9969368562472;1;3.505;1;0.32;1;1.21;1;0.52;1;2.57;1;0;2.33;0.47
18HU02070_264;SEGB-03;46.35;-52.7333;255603;20;10-nov-02;20:05:00;20.52;31.907;1;6.99293775190327;1;3.429;1;0.27;1;1.34;1;0.63;1;2.93;1;0;2.13;0.46
18HU02070_264;SEGB-03;46.35;-52.7333;255602;30;10-nov-02;20:05:00;30.46;31.962;1;7.0109381997313;1;3.24;1;0.23;1;1.62;1;0.76;1;2.92;1;0;2.13;0.55
18HU02070_264;SEGB-03;46.35;-52.7333;255601;40;10-nov-02;20:05:00;40.42;32.218;1;7.02893640841917;1;2.792;1;0.15;1;2.15;1;0.67;1;4.75;1;0;3.21;0.45
18HU02070_264;SEGB-03;46.35;-52.7333;255600;49;10-nov-02;20:05:00;49.22;32.44;1;7.02893640841917;1;2.329;1;0.1;1;2.88;1;0.53;1;5.63;1;0;5.43;0.51
18HU02070_264;SEGB-03;46.35;-52.7333;255599;75;10-nov-02;20:05:00;76.11;33.053;1;6.82993954321541;1;-1.04;1;0;1;9.56;1;1.68;1;12.8;1;0;5.69;0.75
18HU02070_264;SEGB-03;46.35;-52.7333;255598;97;10-nov-02;20:05:00;98.13;33.175;1;6.78793999104344;1;-1.186;1;0;1;11.05;2;1.8;1;14.71;1;2048;6.14;0.75
18HU02070_264;SEGB-03;46.35;-52.7333;255597;150;10-nov-02;20:05:00;151.33;33.258;1;6.67493954321541;1;-1.086;1;NaN;9;11.25;1;1.78;2;15.76;1;2048;6.32;0.71
18HU02070_264;SEGB-03;46.35;-52.7333;255596;165;10-nov-02;20:05:00;166.59;33.257;1;6.68193909538737;1;-1.086;1;NaN;9;11.07;1;1.66;2;15.14;1;2048;6.67;0.73
18HU02070_284;SEGB-04;46.2083;-52.6083;255606;124;10-nov-02;22:25:00;125.09;33.314;1;6.47894088669951;1;-0.994;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_304;SEGB-05;46.07;-52.5;255614;6;10-nov-02;23:49:00;5.68;32.001;1;6.60293999104344;1;5.542;1;0.35;1;1.55;1;0.57;1;2.94;1;0;2.72;0.53
18HU02070_304;SEGB-05;46.07;-52.5;255613;10;10-nov-02;23:49:00;9.99;31.997;1;6.60594043887147;1;5.489;1;0.35;1;1.55;1;0.54;1;2.62;1;0;2.87;0.59
18HU02070_304;SEGB-05;46.07;-52.5;255612;21;10-nov-02;23:49:00;20.67;31.995;1;6.60994178235558;1;5.467;1;0.32;1;1.66;1;0.68;1;3.04;1;0;2.44;0.55
18HU02070_304;SEGB-05;46.07;-52.5;255611;30;10-nov-02;23:49:00;30.32;31.982;1;6.62094043887147;1;5.259;1;0.27;1;1.53;1;0.51;1;3.16;1;0;3.00;0.48
18HU02070_304;SEGB-05;46.07;-52.5;255610;40;10-nov-02;23:49:00;40.26;32;1;6.63594043887147;1;5.085;1;0.21;1;1.68;1;0.56;1;3.24;1;0;3.00;0.52
18HU02070_304;SEGB-05;46.07;-52.5;255609;52;10-nov-02;23:49:00;52.1;32.032;1;6.64094043887147;1;4.988;1;0.24;1;2.27;1;0.59;1;3.28;1;0;3.85;0.69
18HU02070_304;SEGB-05;46.07;-52.5;255608;73;10-nov-02;23:49:00;73.52;33.02;1;5.98894536497985;1;0.264;1;0.02;1;9.78;1;1.88;1;13.56;1;0;5.20;0.72
18HU02070_304;SEGB-05;46.07;-52.5;255607;83;10-nov-02;23:49:00;83.66;33.021;1;5.99894536497985;1;0.244;1;0.04;1;9.61;1;1.91;1;13.76;1;0;5.03;0.70
18HU02070_315;SEGB-06;45.7883;-52.2667;255615;73;11-nov-02;02:29:00;73.91;32.984;1;6.06694581280788;1;0.487;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_326;SEGB-07;45.4583;-52;255622;6;11-nov-02;04:38:00;5.75;32.247;1;6.57694133452754;1;6.403;1;0.54;1;0.93;1;0.32;1;1.76;1;0;2.91;0.53
18HU02070_326;SEGB-07;45.4583;-52;255621;11;11-nov-02;04:38:00;10.74;32.248;1;6.55094043887147;1;6.36;1;0.53;1;1.39;1;0.5;1;2.71;1;0;2.78;0.51
18HU02070_326;SEGB-07;45.4583;-52;255620;21;11-nov-02;04:38:00;20.83;32.247;1;6.58094043887147;1;6.4;1;0.54;1;1.66;1;0.48;1;2.02;1;0;3.46;0.82
18HU02070_326;SEGB-07;45.4583;-52;255619;30;11-nov-02;04:38:00;30.53;32.248;1;6.54494178235558;1;6.363;1;0.51;1;1.17;1;0.41;1;2.1;1;0;2.85;0.56
18HU02070_326;SEGB-07;45.4583;-52;255618;40;11-nov-02;04:38:00;40.68;32.249;1;6.53494178235558;1;6.362;1;0.42;1;1.63;1;0.42;1;2.42;1;0;3.88;0.67
18HU02070_326;SEGB-07;45.4583;-52;255617;51;11-nov-02;04:38:00;51.01;32.258;1;6.52194133452754;1;6.352;1;0.25;1;1.72;1;0.5;1;2.61;1;0;3.44;0.66
18HU02070_326;SEGB-07;45.4583;-52;255616;71;11-nov-02;04:38:00;71.96;32.975;1;7.03293775190327;1;-0.082;1;0.08;1;6.04;1;1.51;1;8.56;1;0;4.00;0.71
18HU02070_339;SEGB-08;45.095;-51.7;255623;66;11-nov-02;07:42:00;66.9;32.938;1;6.99293775190327;1;0.414;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_003;SEGB-09;44.725;-51.395;255630;6;11-nov-02;10:02:00;5.86;32.283;1;6.50594267801164;1;6.506;1;0.59;1;0.8;1;0.37;1;2.43;1;0;2.16;0.33
18HU02070_003;SEGB-09;44.725;-51.395;255629;11;11-nov-02;10:02:00;10.87;32.285;1;6.49894088669951;1;6.508;1;0.53;1;1.64;1;0.48;1;3.1;1;0;3.42;0.53
18HU02070_003;SEGB-09;44.725;-51.395;255628;21;11-nov-02;10:02:00;21.15;32.29;1;6.47994178235558;1;6.523;1;0.49;1;1.22;1;0.41;1;2.48;1;0;2.98;0.49
18HU02070_003;SEGB-09;44.725;-51.395;255627;31;11-nov-02;10:02:00;31.25;32.294;1;6.45194133452754;1;6.512;1;0.33;1;1.4;1;0.46;1;2.83;1;0;3.04;0.49
18HU02070_003;SEGB-09;44.725;-51.395;255626;41;11-nov-02;10:02:00;41.39;32.386;1;6.37194357366771;1;5.582;1;0.16;1;2.03;1;0.57;1;3.16;1;0;3.56;0.64
18HU02070_003;SEGB-09;44.725;-51.395;255625;51;11-nov-02;10:02:00;51.33;32.827;1;6.27794446932378;1;2.164;1;0.1;1;4.41;1;1.33;1;8.53;1;0;3.32;0.52
18HU02070_003;SEGB-09;44.725;-51.395;255624;66;11-nov-02;10:02:00;66.55;32.828;1;6.25994402149575;1;2.156;1;0.17;1;3.66;1;1.13;1;6.53;1;0;3.24;0.56
18HU02070_014;SEGB-10;44.3633;-51.1033;255632;12;11-nov-02;13:15:00;12.08;32.369;1;6.34294223018361;1;7.402;1;0.62;1;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_014;SEGB-10;44.3633;-51.1033;255631;66;11-nov-02;13:15:00;66.21;32.845;1;5.91294670846395;1;2.71;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_025;SEGB-11;44;-50.805;255639;5;11-nov-02;15:47:00;5.41;32.5;1;6.24294446932378;1;7.804;1;0.6;1;0.88;1;0.5;1;3.49;1;0;1.76;0.25
18HU02070_025;SEGB-11;44;-50.805;255638;9;11-nov-02;15:47:00;9.45;32.5;1;6.24194357366771;1;7.79;1;0.62;1;1.04;1;0.77;1;3.64;1;0;1.35;0.29
18HU02070_025;SEGB-11;44;-50.805;255637;19;11-nov-02;15:47:00;19.55;32.5;1;6.22894536497985;1;7.722;1;0.61;1;0.85;1;0.71;1;3.75;1;0;1.20;0.23
18HU02070_025;SEGB-11;44;-50.805;255636;29;11-nov-02;15:47:00;29.67;32.499;1;6.20594491715181;1;7.712;1;0.56;1;1.49;1;0.81;1;3.46;1;0;1.84;0.43
18HU02070_025;SEGB-11;44;-50.805;255635;40;11-nov-02;15:47:00;40.78;32.606;1;6.05994626063592;1;7.038;1;0.19;1;1.61;1;0.71;1;4.52;1;0;2.27;0.36
18HU02070_025;SEGB-11;44;-50.805;255634;50;11-nov-02;15:47:00;50.73;32.828;1;6.05094491715181;1;3.967;1;0.12;1;2.88;1;1.07;1;7.72;1;0;2.69;0.37
18HU02070_025;SEGB-11;44;-50.805;255633;65;11-nov-02;15:47:00;65.15;32.942;1;6.11294446932378;1;2.594;1;0.15;1;4.72;1;1.67;1;9.84;1;0;2.83;0.48
18HU02070_036;SEGB-12;43.6333;-50.5167;255646;5;11-nov-02;19:24:00;5.44;32.534;1;6.27694357366771;1;8.591;1;0.76;1;0.62;1;0.36;1;2.74;1;0;1.72;0.23
18HU02070_036;SEGB-12;43.6333;-50.5167;255645;11;11-nov-02;19:24:00;10.88;32.533;1;6.27494402149575;1;8.605;1;0.76;1;0.66;1;0.86;1;3.06;1;0;0.77;0.22
18HU02070_036;SEGB-12;43.6333;-50.5167;255644;21;11-nov-02;19:24:00;21.01;32.543;1;6.15394536497985;1;8.226;1;0.52;1;0.64;1;0.41;1;2.95;1;0;1.56;0.22
18HU02070_036;SEGB-12;43.6333;-50.5167;255643;30;11-nov-02;19:24:00;30.71;32.543;1;6.13694581280788;1;8.223;1;0.41;1;0.66;1;0.42;1;3.05;1;0;1.57;0.22
18HU02070_036;SEGB-12;43.6333;-50.5167;255642;40;11-nov-02;19:24:00;40.69;32.574;1;6.13894536497985;1;7.211;1;0.19;1;1.72;1;0.96;1;3.98;1;0;1.79;0.43
18HU02070_036;SEGB-12;43.6333;-50.5167;255641;50;11-nov-02;19:24:00;50.75;32.665;1;6.22994402149575;1;5.757;1;0.13;1;1.92;1;0.95;1;5.13;1;0;2.02;0.37
18HU02070_036;SEGB-12;43.6333;-50.5167;255640;59;11-nov-02;19:24:00;59.78;32.836;1;6.49994178235558;1;2.648;1;0.23;1;4.01;1;1.44;1;8.61;1;0;2.78;0.47
18HU02070_047;SEGB-13;43.2;-50.1667;255653;5;11-nov-02;22:20:00;4.61;32.558;1;6.42794223018361;1;7.294;1;0.47;1;1.44;1;0.43;1;3.34;1;0;3.35;0.43
18HU02070_047;SEGB-13;43.2;-50.1667;255652;10;11-nov-02;22:20:00;9.65;32.559;1;6.42594267801164;1;7.257;1;0.6;1;1.15;1;0.5;1;4.06;1;0;2.30;0.28
18HU02070_047;SEGB-13;43.2;-50.1667;255651;20;11-nov-02;22:20:00;20.05;32.565;1;6.31794223018361;1;6.925;1;0.44;1;1.76;1;0.58;1;4.54;1;0;3.03;0.39
18HU02070_047;SEGB-13;43.2;-50.1667;255650;30;11-nov-02;22:20:00;30.03;32.568;1;6.31794223018361;1;6.851;1;0.31;1;1.49;1;0.8;1;4.83;1;0;1.86;0.31
18HU02070_047;SEGB-13;43.2;-50.1667;255649;41;11-nov-02;22:20:00;41.01;32.579;1;6.30394312583968;1;6.706;1;0.26;1;1.75;1;0.71;1;4.83;1;0;2.46;0.36
18HU02070_047;SEGB-13;43.2;-50.1667;255648;51;11-nov-02;22:20:00;51.03;32.688;1;6.36194357366771;1;5.319;1;0.22;1;2.53;1;0.72;1;5.63;1;0;3.51;0.45
18HU02070_047;SEGB-13;43.2;-50.1667;255647;63;11-nov-02;22:20:00;63;32.932;1;6.58293999104344;1;1.459;1;0.58;1;6.14;1;1.47;1;10.83;1;0;4.18;0.57
18HU02070_058;SEGB-14;42.92;-49.9417;255654;177;12-nov-02;00:38:00;178.77;34.329;1;6.00494626063592;1;2.771;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_069;SEGB-15;42.85;-49.8867;255664;5;12-nov-02;01:25:00;4.87;32.55;1;6.64694133452754;1;6.075;1;0.61;1;1.94;1;0.54;1;4.67;1;0;3.59;0.42
18HU02070_069;SEGB-15;42.85;-49.8867;255663;10;12-nov-02;01:25:00;9.9;32.556;1;6.63894088669951;1;5.667;1;0.59;1;2.5;1;0.47;1;4.46;1;0;5.32;0.56
18HU02070_069;SEGB-15;42.85;-49.8867;255662;19;12-nov-02;01:25:00;19.65;32.673;1;6.62194133452754;1;5.033;1;0.53;1;3.06;1;0.61;1;4.43;1;0;5.02;0.69
18HU02070_069;SEGB-15;42.85;-49.8867;255661;29;12-nov-02;01:25:00;29.71;32.781;1;6.67394088669951;1;4.558;1;0.62;1;3.05;1;0.62;1;4.99;1;0;4.92;0.61
18HU02070_069;SEGB-15;42.85;-49.8867;255660;39;12-nov-02;01:25:00;39.6;32.883;1;6.70993954321541;1;4.169;1;0.65;1;3.96;1;0.92;1;5.54;1;0;4.30;0.71
18HU02070_069;SEGB-15;42.85;-49.8867;255659;49;12-nov-02;01:25:00;49.57;33.015;1;6.67993954321541;1;3.943;1;0.33;1;5.16;1;0.94;1;5.7;1;0;5.49;0.91
18HU02070_069;SEGB-15;42.85;-49.8867;255658;74;12-nov-02;01:25:00;74.68;33.317;1;6.66793999104344;1;1.492;1;0.1;1;8.77;1;1.41;1;9;1;0;6.22;0.97
18HU02070_069;SEGB-15;42.85;-49.8867;255657;99;12-nov-02;01:25:00;100.18;33.65;1;6.58793999104344;1;1.902;1;0.04;1;9.97;1;1.46;1;8.77;1;0;6.83;1.14
18HU02070_069;SEGB-15;42.85;-49.8867;255656;150;12-nov-02;01:25:00;150.97;34.375;1;5.24495297805643;1;4.67;1;NaN;9;16.44;1;1.87;1;10.58;1;0;8.79;1.55
18HU02070_069;SEGB-15;42.85;-49.8867;255655;399;12-nov-02;01:25:00;401.78;34.706;1;5.90394760412002;1;3.663;1;NaN;9;16.99;1;1.53;1;10.46;1;0;11.10;1.62
18HU02070_080;SEGB-16;42.775;-49.8283;255665;1490;12-nov-02;03:24:00;1497.08;34.868;1;6.21294446932378;1;3.424;1;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU02070_091;SEGB-17;42.5883;-49.6833;255675;6;12-nov-02;06:05:00;5.77;33.115;1;6.04494626063592;1;10.272;1;0.58;1;0.61;1;0.38;1;1.34;1;0;1.61;0.46
18HU02070_091;SEGB-17;42.5883;-49.6833;255674;10;12-nov-02;06:05:00;10.13;33.201;1;5.99994626063592;1;10.542;1;0.54;1;0.48;1;0.21;1;1.36;1;0;2.29;0.35
