CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Q_OXYM;CHL_03;Q_CHL;CHL_XX;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);((none));(mg/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL00002_002;STN27;47.5467;-52.5867;197910;7;22-apr-00;21:55:00;6.7;406.8489;4;1.11;1;0.95;1;0;1;0.79;1;0.31;1;6;0.00;0.00
18TL00002_002;STN27;47.5467;-52.5867;197909;11;22-apr-00;21:55:00;11.46;407.2955;4;1.14;1;1.02;1;0.14;1;0.86;1;0.43;1;6;0.16;0.33
18TL00002_002;STN27;47.5467;-52.5867;197908;20;22-apr-00;21:55:00;20.32;407.2955;4;0.9;1;1.02;1;0.07;1;0.84;1;0.31;1;6;0.08;0.23
18TL00002_002;STN27;47.5467;-52.5867;197907;31;22-apr-00;21:55:00;31.58;407.2955;4;1.28;1;1.09;1;0.08;1;0.87;1;0.35;1;6;0.09;0.23
18TL00002_002;STN27;47.5467;-52.5867;197906;41;22-apr-00;21:55:00;41.55;403.2762;4;1.55;1;1.48;1;0.14;1;0.87;1;0.4;1;6;0.16;0.35
18TL00002_002;STN27;47.5467;-52.5867;197905;52;22-apr-00;21:55:00;52.74;374.2474;4;2.85;7;3.53;7;4.88;1;1.63;1;2.93;1;134;2.99;1.67
18TL00002_002;STN27;47.5467;-52.5867;197904;76;22-apr-00;21:55:00;77.11;370.6747;4;0.88;1;0.83;1;6.32;1;1.74;1;5.15;1;6;3.63;1.23
18TL00002_002;STN27;47.5467;-52.5867;197903;100;22-apr-00;21:55:00;100.43;362.1893;4;0.34;1;0.32;1;6.87;1;1.78;1;6.39;1;6;3.86;1.08
18TL00002_002;STN27;47.5467;-52.5867;197902;150;22-apr-00;21:55:00;150.71;334.0538;4;NaN;9;NaN;9;8.49;1;2.04;1;9.05;1;6;4.16;0.94
18TL00002_002;STN27;47.5467;-52.5867;197901;167;22-apr-00;21:55:00;168.04;335.8402;4;NaN;9;NaN;9;8.58;1;1.98;1;9.55;1;6;4.33;0.90
18TL00002_315;SEGB-01;46.5833;-52.9333;197915;6;23-apr-00;05:35:00;6.11;401.0432;4;2.37;7;3.06;7;0.12;1;0.97;1;0.66;1;134;0.12;0.18
18TL00002_315;SEGB-01;46.5833;-52.9333;197914;10;23-apr-00;05:35:00;10.57;401.0432;4;2.76;1;2.38;1;0.14;1;0.92;1;0.48;1;6;0.15;0.29
18TL00002_315;SEGB-01;46.5833;-52.9333;197913;20;23-apr-00;05:35:00;20.13;400.15;4;4.5;7;3.96;7;0.15;1;0.95;1;0.41;1;134;0.16;0.37
18TL00002_315;SEGB-01;46.5833;-52.9333;197912;29;23-apr-00;05:35:00;29.45;398.8102;4;2.62;1;2.95;1;0.17;1;0.92;1;0.42;1;6;0.18;0.40
18TL00002_315;SEGB-01;46.5833;-52.9333;197911;47;23-apr-00;05:35:00;46.9;386.3055;4;3.41;7;2.9;7;2.03;1;1.28;1;1.5;1;134;1.59;1.35
18TL00002_339;SEGB-03;46.35;-52.7333;197925;5;23-apr-00;08:43:00;4.87;398.3636;4;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;6;NaN;NaN
