CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CHL_01;Q_CHL;OXYM_01;Q_OXYM;NO3_01;Q_NO3;PO4_01;Q_PO4;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18MT71036_435;F172_11;47.97861;-69.71667;300;0;22-aug-71;08:25:00;1.1;1;258.5814;4;8.93;1;0.98;1;6;9.11;NaN
18MT71036_435;F172_11;47.97861;-69.71667;301;3;22-aug-71;08:25:00;NaN;9;255.09792;4;7.79;1;1.09;1;6;7.15;NaN
18MT71036_435;F172_11;47.97861;-69.71667;302;6;22-aug-71;08:25:00;NaN;9;254.1154;4;6.94;1;1;1;6;6.94;NaN
18MT71036_435;F172_11;47.97861;-69.71667;303;9;22-aug-71;08:25:00;NaN;9;252.59696;4;7.34;1;1.11;1;6;6.61;NaN
18MT71036_435;F172_11;47.97861;-69.71667;304;15;22-aug-71;08:25:00;NaN;9;248.57756;4;6.45;1;1;1;6;6.45;NaN
18MT71036_435;F172_11;47.97861;-69.71667;305;30;22-aug-71;08:25:00;NaN;9;243.57564;4;6.05;1;1.3;1;6;4.65;NaN
18MT71036_436;F172_21;47.97861;-69.71667;306;0;22-aug-71;10:30:00;1.3;1;246.61252;4;7.78;1;1.26;1;6;6.17;NaN
18MT71036_436;F172_21;47.97861;-69.71667;307;8;22-aug-71;10:30:00;NaN;9;245.58534;4;7.73;1;1.23;1;6;6.28;NaN
18MT71036_436;F172_21;47.97861;-69.71667;308;17;22-aug-71;10:30:00;NaN;9;246.61252;4;9.19;1;1.01;1;6;9.10;NaN
18MT71036_436;F172_21;47.97861;-69.71667;309;25;22-aug-71;10:30:00;NaN;9;245.09408;4;8.45;1;0.99;1;6;8.54;NaN
18MT71036_436;F172_21;47.97861;-69.71667;310;43;22-aug-71;10:30:00;NaN;9;245.58534;4;7.11;1;1.12;1;6;6.35;NaN
18MT71036_436;F172_21;47.97861;-69.71667;311;77;22-aug-71;10:30:00;NaN;9;223.56796;4;8.65;1;1.29;1;6;6.71;NaN
18MT71036_437;F172_31;47.97861;-69.71667;312;0;22-aug-71;12:40:00;0.2;1;260.09984;4;3.93;1;1.06;1;6;3.71;NaN
18MT71036_437;F172_31;47.97861;-69.71667;313;4;22-aug-71;12:40:00;NaN;9;254.60666;4;7.25;1;0.74;1;6;9.80;NaN
18MT71036_437;F172_31;47.97861;-69.71667;316;30;22-aug-71;12:40:00;NaN;9;224.59514;4;11;1;0.93;1;6;11.83;NaN
18MT71036_437;F172_31;47.97861;-69.71667;317;62;22-aug-71;12:40:00;NaN;9;226.06892;4;10.43;1;1.33;1;6;7.84;NaN
