CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;TEMP_XX;OXYM_01;Q_OXYM;CHL_XX;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(celsius);(mmol/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU92037_355;CTD-01;42.2;-54.65;113317;0;18-sep-92;13:43:00;20.9;236.20674;4;0.096;1;0.04;1;0.08;1;0.46;1;6;0.50;0.09
18HU92037_355;CTD-01;42.2;-54.65;113316;10;18-sep-92;13:43:00;20.9;238.17178;4;0.096;1;0.05;1;0.06;1;0.53;1;6;0.83;0.09
18HU92037_355;CTD-01;42.2;-54.65;113315;20;18-sep-92;13:43:00;21.2;234.42034;4;0.118;1;0.05;1;0.05;1;0.54;1;6;1.00;0.09
18HU92037_355;CTD-01;42.2;-54.65;113314;30;18-sep-92;13:43:00;21.1;246.7465;4;0.147;1;0.02;1;0.09;1;0.48;1;6;0.22;0.04
18HU92037_355;CTD-01;42.2;-54.65;113313;40;18-sep-92;13:43:00;18.9;254.60666;4;0.162;1;0.03;1;0.14;1;0.81;1;6;0.21;0.04
18HU92037_355;CTD-01;42.2;-54.65;113312;50;18-sep-92;13:43:00;16.4;255.76782;4;0.199;1;0.04;1;0.15;1;0.97;1;6;0.27;0.04
18HU92037_355;CTD-01;42.2;-54.65;113311;60;18-sep-92;13:43:00;14.3;243.1737;4;0.272;1;0.99;1;0.28;1;1.5;1;6;3.54;0.66
18HU92037_355;CTD-01;42.2;-54.65;113310;70;18-sep-92;13:43:00;13.1;230.6689;4;0.147;1;4.14;1;0.39;1;2.17;1;6;10.62;1.91
18HU92037_355;CTD-01;42.2;-54.65;113309;80;18-sep-92;13:43:00;13.4;228.4359;4;0.088;1;6.44;1;0.57;1;2.83;1;6;11.30;2.28
18HU92037_355;CTD-01;42.2;-54.65;113308;90;18-sep-92;13:43:00;13.2;213.9214;4;0.059;1;6.58;1;0.49;1;2.64;1;6;13.43;2.49
18HU92037_355;CTD-01;42.2;-54.65;113307;100;18-sep-92;13:43:00;13;221.82622;4;0.051;1;8.43;1;0.54;1;3.46;1;6;15.61;2.44
18HU92037_355;CTD-01;42.2;-54.65;113306;110;18-sep-92;13:43:00;12.8;223.03204;4;0.029;1;8.24;1;0.57;1;3.34;1;6;14.46;2.47
18HU92037_355;CTD-01;42.2;-54.65;113305;120;18-sep-92;13:43:00;12.8;217.85148;4;0.015;1;8.68;1;0.61;1;3.54;1;6;14.23;2.45
18HU92037_355;CTD-01;42.2;-54.65;113304;130;18-sep-92;13:43:00;12.7;212.04568;4;0.007;1;9.9;1;0.71;1;4.06;1;6;13.94;2.44
18HU92037_355;CTD-01;42.2;-54.65;113303;140;18-sep-92;13:43:00;12.6;213.20684;4;0.007;1;10.18;1;0.57;1;4.2;1;6;17.86;2.42
18HU92037_355;CTD-01;42.2;-54.65;113302;150;18-sep-92;13:43:00;12.4;214.45732;4;0.007;1;10.75;1;0.95;1;4.51;1;6;11.32;2.38
18HU92037_355;CTD-01;42.2;-54.65;113301;200;18-sep-92;13:43:00;11.6;211.19714;4;0.007;1;11.16;1;0.7;1;5.19;1;6;15.94;2.15
18HU92037_356;CTD-02;42.2;-54.65;113334;0;18-sep-92;15:45:00;NaN;239.28828;4;NaN;9;0.01;1;NaN;9;0.59;1;6;NaN;0.02
18HU92037_356;CTD-02;42.2;-54.65;113333;10;18-sep-92;15:45:00;NaN;239.73488;4;NaN;9;0.02;1;NaN;9;0.53;1;6;NaN;0.04
18HU92037_356;CTD-02;42.2;-54.65;113332;20;18-sep-92;15:45:00;NaN;250.27464;4;NaN;9;0.01;1;NaN;9;0.51;1;6;NaN;0.02
18HU92037_356;CTD-02;42.2;-54.65;113331;30;18-sep-92;15:45:00;NaN;252.329;4;NaN;9;0.02;1;NaN;9;0.77;1;6;NaN;0.03
18HU92037_356;CTD-02;42.2;-54.65;113330;40;18-sep-92;15:45:00;NaN;252.90958;4;NaN;9;0.65;1;NaN;9;0.84;1;6;NaN;0.77
18HU92037_356;CTD-02;42.2;-54.65;113329;50;18-sep-92;15:45:00;NaN;249.02416;4;NaN;9;2.11;1;NaN;9;0.97;1;6;NaN;2.18
18HU92037_356;CTD-02;42.2;-54.65;113328;60;18-sep-92;15:45:00;NaN;219.7272;4;NaN;9;2.99;1;NaN;9;1.03;1;6;NaN;2.90
18HU92037_356;CTD-02;42.2;-54.65;113327;70;18-sep-92;15:45:00;NaN;223.3;4;NaN;9;3.22;1;NaN;9;1.14;1;6;NaN;2.82
18HU92037_356;CTD-02;42.2;-54.65;113326;90;18-sep-92;15:45:00;NaN;158.90028;4;NaN;9;3.82;1;NaN;9;1.36;1;6;NaN;2.81
18HU92037_356;CTD-02;42.2;-54.65;113325;100;18-sep-92;15:45:00;NaN;195.43216;4;NaN;9;3.96;1;NaN;9;1.37;1;6;NaN;2.89
18HU92037_356;CTD-02;42.2;-54.65;113324;300;18-sep-92;15:45:00;NaN;194.271;4;NaN;9;21.64;1;1.22;1;13.01;1;6;17.74;1.66
18HU92037_356;CTD-02;42.2;-54.65;113323;500;18-sep-92;15:45:00;NaN;220.6204;4;NaN;9;22.78;1;1.23;1;13.89;1;6;18.52;1.64
18HU92037_356;CTD-02;42.2;-54.65;113322;600;18-sep-92;15:45:00;NaN;245.54068;4;NaN;9;21.44;1;1.24;1;13.42;1;6;17.29;1.60
18HU92037_356;CTD-02;42.2;-54.65;113321;700;18-sep-92;15:45:00;NaN;257.06296;4;NaN;9;16.93;1;1.12;1;10.76;1;6;15.12;1.57
18HU92037_356;CTD-02;42.2;-54.65;113320;800;18-sep-92;15:45:00;NaN;258.44742;4;NaN;9;18.35;1;1.08;1;11.24;1;6;16.99;1.63
18HU92037_356;CTD-02;42.2;-54.65;113319;900;18-sep-92;15:45:00;NaN;258.1348;4;NaN;9;20.76;1;1.27;1;12.81;1;6;16.35;1.62
18HU92037_356;CTD-02;42.2;-54.65;113318;1000;18-sep-92;15:45:00;NaN;265.19108;4;NaN;9;19.72;1;1.13;1;12.38;1;6;17.45;1.59
18HU92037_357;18;41.2;-49.55;112204;1;19-sep-92;11:35:00;24.8;NaN;9;0.16;1;0.06;1;0.16;1;1.12;1;0;0.38;0.05
18HU92037_357;18;41.2;-49.55;112205;40;19-sep-92;11:35:00;24.8;NaN;9;0.17;1;0.07;1;0.14;1;1.08;1;0;0.50;0.06
18HU92037_357;18;41.2;-49.55;112206;80;19-sep-92;11:35:00;23.4;NaN;9;0.54;1;1.93;1;0.16;1;1.21;1;0;12.06;1.60
18HU92037_358;CTD-03;41.17;-49.51;113351;0;19-sep-92;12:59:00;24.8;214.90392;4;0.088;1;0.07;1;0.04;1;1.04;1;6;1.75;0.07
18HU92037_358;CTD-03;41.17;-49.51;113350;10;19-sep-92;12:59:00;24.8;215.88644;4;0.096;1;0.05;1;0.03;1;0.95;1;6;1.67;0.05
18HU92037_358;CTD-03;41.17;-49.51;113349;20;19-sep-92;12:59:00;24.8;214.1447;4;0.118;1;0.07;1;0.13;1;1.04;1;6;0.54;0.07
18HU92037_358;CTD-03;41.17;-49.51;113348;30;19-sep-92;12:59:00;24.8;215.52916;4;0.11;1;0.05;1;0.11;1;0.96;1;6;0.45;0.05
18HU92037_358;CTD-03;41.17;-49.51;113347;40;19-sep-92;12:59:00;24.8;210.66122;4;0.118;1;0.07;1;0.06;1;1;1;6;1.17;0.07
18HU92037_358;CTD-03;41.17;-49.51;113346;50;19-sep-92;12:59:00;24.8;211.86704;4;0.125;1;0.06;1;0.15;1;1.06;1;6;0.40;0.06
18HU92037_358;CTD-03;41.17;-49.51;113345;60;19-sep-92;12:59:00;24.1;208.51754;4;0.596;1;0.32;1;0.18;1;0.93;1;6;1.78;0.34
18HU92037_358;CTD-03;41.17;-49.51;113344;70;19-sep-92;12:59:00;23.6;196.14672;4;0.346;1;1.74;1;0.2;1;1.15;1;6;8.70;1.51
18HU92037_358;CTD-03;41.17;-49.51;113343;80;19-sep-92;12:59:00;22.8;172.96818;4;0.257;1;3.07;1;0.21;1;1.47;1;6;14.62;2.09
18HU92037_358;CTD-03;41.17;-49.51;113342;90;19-sep-92;12:59:00;22.4;187.21472;4;0.191;1;2.89;1;0.22;1;1.29;1;6;13.14;2.24
18HU92037_358;CTD-03;41.17;-49.51;113341;100;19-sep-92;12:59:00;21.7;188.37588;4;0.103;1;3.32;1;0.23;1;1.37;1;6;14.43;2.42
18HU92037_358;CTD-03;41.17;-49.51;113340;110;19-sep-92;12:59:00;21;184.13318;4;0.11;1;3.64;1;0.17;1;1.48;1;6;21.41;2.46
18HU92037_358;CTD-03;41.17;-49.51;113339;120;19-sep-92;12:59:00;20.7;159.52552;4;0.051;1;7.28;1;0.41;1;2.66;1;6;17.76;2.74
18HU92037_358;CTD-03;41.17;-49.51;113338;130;19-sep-92;12:59:00;20;172.3876;4;0.044;1;5.33;1;0.33;1;1.97;1;6;16.15;2.71
18HU92037_358;CTD-03;41.17;-49.51;113337;140;19-sep-92;12:59:00;19.9;162.87502;4;0.029;1;7.38;1;0.44;1;2.6;1;6;16.77;2.84
18HU92037_358;CTD-03;41.17;-49.51;113336;150;19-sep-92;12:59:00;19.3;193.02052;4;0.022;1;9.19;1;0.53;1;3.76;1;6;17.34;2.44
18HU92037_358;CTD-03;41.17;-49.51;113335;200;19-sep-92;12:59:00;15.6;186.4555;4;0.022;1;8.88;1;0.51;1;3.58;1;6;17.41;2.48
18HU92037_359;390;43;-49.5;99469;1;18-oct-92;11:04:00;5.4;NaN;9;3.05;1;0;1;NaN;9;0.56;1;0;NaN;0.00
18HU92037_359;390;43;-49.5;99470;10;18-oct-92;11:04:00;5.4;NaN;9;2.91;1;0;1;NaN;9;0.47;1;0;NaN;0.00
18HU92037_359;390;43;-49.5;99471;20;18-oct-92;11:04:00;5.4;NaN;9;4.83;1;0.04;1;NaN;9;0.46;1;0;NaN;0.09
18HU92037_360;CTD-82;42.99;-49.52;114426;0;18-oct-92;12:06:00;5.3;359.11106;4;1.875;1;0.1;1;0.34;1;0.56;1;6;0.29;0.18
18HU92037_360;CTD-82;42.99;-49.52;114425;5;18-oct-92;12:06:00;5.3;361.746;4;1.919;1;0.02;1;0.25;1;0.55;1;6;0.08;0.04
18HU92037_360;CTD-82;42.99;-49.52;114424;10;18-oct-92;12:06:00;5.3;358.70912;4;2.221;1;0.06;1;0.21;1;0.51;1;6;0.29;0.12
18HU92037_360;CTD-82;42.99;-49.52;114423;15;18-oct-92;12:06:00;5.3;361.83532;4;2.471;1;0.01;1;0.27;1;0.48;1;6;0.04;0.02
18HU92037_360;CTD-82;42.99;-49.52;114422;20;18-oct-92;12:06:00;5.4;351.07226;4;2.537;1;0.06;1;0.28;1;0.66;1;6;0.21;0.09
18HU92037_360;CTD-82;42.99;-49.52;114421;25;18-oct-92;12:06:00;5.5;342.49754;4;3.309;1;0.12;7;0.25;1;0.94;1;518;0.48;0.13
18HU92037_360;CTD-82;42.99;-49.52;114420;30;18-oct-92;12:06:00;5.5;289.26282;4;0.096;1;12.22;7;0.9;1;9.18;1;518;13.58;1.33
18HU92037_360;CTD-82;42.99;-49.52;114419;35;18-oct-92;12:06:00;4.5;326.10732;4;3.015;1;2.02;7;0.41;1;2.6;1;518;4.93;0.78
18HU92037_360;CTD-82;42.99;-49.52;114418;40;18-oct-92;12:06:00;4.4;302.39286;4;1.89;1;2.67;1;0.35;1;2.98;1;6;7.63;0.90
18HU92037_360;CTD-82;42.99;-49.52;114417;50;18-oct-92;12:06:00;3.6;317.13066;4;1.125;1;5.34;1;0.65;1;5.22;1;6;8.22;1.02
18HU92037_360;CTD-82;42.99;-49.52;114416;60;18-oct-92;12:06:00;2;314.31708;4;0.971;1;7.82;1;0.69;1;7.28;1;6;11.33;1.07
